Source,Target,weight,products,services,finances,content,hardware,interviewed
1,3,1,1,NA,NA,NA,NA,FALSE
2,3,1,1,NA,NA,NA,NA,FALSE
2,12,2,2,NA,NA,NA,NA,FALSE
2,33,5,1,NA,NA,NA,NA,FALSE
2,58,2,2,NA,NA,NA,NA,FALSE
2,65,1,1,NA,NA,NA,NA,FALSE
2,72,1,1,NA,NA,NA,NA,FALSE
2,80,2,1,NA,NA,NA,NA,FALSE
2,91,3,3,NA,NA,NA,NA,FALSE
2,100,1,1,NA,NA,NA,NA,FALSE
2,103,1,1,NA,NA,NA,NA,FALSE
2,149,1,1,NA,NA,NA,NA,FALSE
2,158,1,1,NA,NA,NA,NA,FALSE
2,184,1,1,NA,NA,NA,NA,FALSE
2,200,2,2,NA,NA,NA,NA,FALSE
2,229,1,1,NA,NA,NA,NA,FALSE
2,240,2,2,NA,NA,NA,NA,FALSE
2,246,1,1,NA,NA,NA,NA,FALSE
2,343,3,3,NA,NA,NA,NA,FALSE
2,363,1,1,NA,NA,NA,NA,FALSE
2,397,1,1,NA,NA,NA,NA,FALSE
3,1,1,NA,NA,1,NA,NA,FALSE
3,2,1,NA,NA,1,NA,NA,FALSE
3,4,1,NA,1,NA,NA,NA,FALSE
3,33,1,1,NA,NA,NA,NA,FALSE
3,118,3,3,NA,NA,NA,NA,FALSE
3,130,1,1,NA,NA,NA,NA,FALSE
3,149,1,1,NA,NA,NA,NA,FALSE
3,223,1,1,NA,NA,NA,NA,FALSE
3,300,2,2,NA,NA,NA,NA,FALSE
4,3,2,NA,NA,1,1,NA,TRUE
4,5,1,NA,1,NA,NA,NA,TRUE
5,4,1,NA,NA,1,NA,NA,FALSE
6,12,2,1,NA,1,NA,NA,FALSE
7,12,1,1,NA,NA,NA,NA,FALSE
8,12,1,1,NA,NA,NA,NA,FALSE
9,12,1,1,NA,NA,NA,NA,FALSE
9,28,1,1,NA,NA,NA,NA,FALSE
9,36,1,1,NA,NA,NA,NA,FALSE
9,80,1,1,NA,NA,NA,NA,FALSE
9,103,3,1,NA,NA,NA,NA,FALSE
9,106,3,1,1,NA,1,NA,FALSE
9,245,2,1,NA,NA,NA,NA,FALSE
9,343,1,1,NA,NA,NA,NA,FALSE
10,12,1,1,NA,NA,NA,NA,FALSE
10,58,1,1,NA,NA,NA,NA,FALSE
10,80,2,1,NA,NA,NA,NA,FALSE
10,165,1,1,NA,NA,NA,NA,FALSE
11,12,5,5,NA,NA,NA,NA,FALSE
11,19,5,5,NA,NA,NA,NA,FALSE
11,23,2,1,NA,NA,NA,NA,FALSE
11,28,3,1,NA,NA,NA,NA,FALSE
11,33,6,4,1,NA,NA,NA,FALSE
11,36,4,4,NA,NA,NA,NA,FALSE
11,37,2,2,NA,NA,NA,NA,FALSE
11,38,3,3,NA,NA,NA,NA,FALSE
11,41,5,5,NA,NA,NA,NA,FALSE
11,45,4,4,NA,NA,NA,NA,FALSE
11,69,2,1,1,NA,NA,NA,FALSE
11,72,2,2,NA,NA,NA,NA,FALSE
11,91,2,2,NA,NA,NA,NA,FALSE
11,100,2,NA,2,NA,NA,NA,FALSE
11,103,1,1,NA,NA,NA,NA,FALSE
11,113,1,1,NA,NA,NA,NA,FALSE
11,118,2,2,NA,NA,NA,NA,FALSE
11,125,1,1,NA,NA,NA,NA,FALSE
11,130,2,2,NA,NA,NA,NA,FALSE
11,136,3,1,2,NA,NA,NA,FALSE
11,140,8,4,NA,NA,NA,NA,FALSE
11,149,3,3,NA,NA,NA,NA,FALSE
11,179,1,1,NA,NA,NA,NA,FALSE
11,184,4,4,NA,NA,NA,NA,FALSE
11,188,3,3,NA,NA,NA,NA,FALSE
11,193,4,4,NA,NA,NA,NA,FALSE
11,215,1,1,NA,NA,NA,NA,FALSE
11,223,2,2,NA,NA,NA,NA,FALSE
11,229,5,5,NA,NA,NA,NA,FALSE
