LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.25,3,6,3,6,4,0,3,FALSE
1,5,4,0,0,8,3,0.27,4,2.0,3,1,13,1,0,11,1,3,1,23.27,11.38,3010.96,0.09,57,0.09,167.28,264.7,0.33,2,4,12,0.23,21,36,12,13,13,0,11,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,2,0.25,2,5,2,5,4,0,3,FALSE
5,18,18,0,2,20,10,0.17,10,2.0,8,0.8,62,5,0.44,58,0,9,0.9,69.5,23.96,39892.13,0.56,269,0.04,2216.23,1665.06,0.5,5,10,54,0.15,92,177,48,25,66,3.33,58,FALSE
0,1,2,0,0,0,1,0.17,0,0,1,1,3,1,0,6,0,1,1,21.8,6.19,834.61,0.04,33,0.16,46.37,134.89,1,0,0,4,0.14,11,22,8,9,7,0,6,FALSE
1,1,2,0,0,0,1,0.17,0,0,1,1,3,1,0,6,3,1,1,26.01,7.86,1605.45,0.07,44,0.13,89.19,204.33,1,0,0,4,0.11,20,24,14,11,9,0,6,FALSE
0,3,1,0,0,4,2,0.22,2,2.0,1,0.5,6,1,0,9,1,1,0.5,14.87,8.57,1092.32,0.04,30,0.12,60.68,127.44,0.5,1,2,6,0.2,10,20,7,12,10,0,9,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.25,3,6,3,6,4,0,3,FALSE
1,7,4,0,0,8,4,0.5,2,4.0,3,0.75,14,1,0,8,2,4,1,15.19,14,2976.5,0.07,47,0.07,165.36,212.61,0.25,3,4,12,0.4,18,29,9,14,10,0,8,FALSE
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
5,19,24,0,0,24,11,0.15,12,2.0,11,1,81,7,0.6,71,0,10,0.91,122.92,19.86,48468.15,0.81,385,0.05,2692.68,2440.84,0.64,6,12,72,0.14,139,246,63,18,78,0,71,FALSE
0,1,2,0,0,0,1,0.25,0,0,1,1,3,1,0,4,0,1,1,10.87,3.5,133.14,0.01,12,0.29,7.4,38.04,1,0,0,4,0.2,2,10,2,7,5,0,4,FALSE
3,3,5,0,5,4,2,0.29,2,2.0,2,1,11,1,0,7,0,2,1,20.1,11.7,2752.14,0.08,52,0.09,152.9,235.23,0.5,1,2,11,0.13,18,34,10,13,16,41.67,7,FALSE
9,12,10,0,8,16,7,0.21,8,2.0,6,0.86,38,1,0,34,1,5,0.71,54.94,20.4,22864.72,0.37,193,0.05,1270.26,1120.82,0.14,4,8,33,0.13,68,125,35,21,53,19.05,34,FALSE
0,8,6,0,1,8,5,0.28,4,2.0,3,0.6,22,3,0.5,18,1,3,0.6,33.38,14.25,6778.53,0.16,90,0.07,376.58,475.69,0.6,2,4,19,0.25,30,60,20,19,20,5.26,18,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,3,0.25,1,5,1,5,4,0,3,FALSE
0,5,4,0,0,8,3,0.21,4,2.0,3,1,15,3,1,14,1,1,0.33,26.73,9.21,2266.4,0.08,53,0.11,125.91,246.12,1,2,4,14,0.2,17,36,12,13,15,0,14,FALSE
0,3,10,0,0,4,2,0.11,2,2.0,2,1,26,1,0,19,0,2,1,48.56,17.22,14395,0.28,163,0.06,799.72,836.07,0.5,1,2,26,0.1,66,97,23,12,20,0,19,FALSE
5,6,6,1,0,4,4,0.18,2,2.0,3,0.75,19,1,0,21,0,3,0.75,32.17,13.68,6017.65,0.15,88,0.07,334.31,440,0.25,1,2,17,0.14,31,57,17,15,28,4.55,22,TRUE
1,6,7,0,1,0,5,0.19,0,0,4,0.8,24,1,0,27,0,4,0.8,54.2,14.04,10683.73,0.25,145,0.07,593.54,760.95,0.2,0,0,21,0.17,54,91,25,13,30,3.57,27,TRUE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,5.43,7,266.27,0.01,12,0.14,14.79,38.04,1,0,0,3,0.25,4,8,2,7,4,0,3,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,8,3,72,0.01,8,0.33,4,24,1,0,0,3,0.25,2,6,2,6,4,0,3,FALSE
3,11,6,0,0,20,6,0.24,10,2.0,6,1,35,1,0,25,1,6,1,30.2,25,18875,0.25,151,0.04,1048.61,755,0.17,5,10,31,0.21,50,101,16,16,29,0,25,FALSE
1,3,5,0,1,4,2,0.22,2,2.0,2,1,12,1,0,9,3,2,1,29.06,11.2,3645.43,0.11,67,0.09,202.52,325.48,0.5,1,2,12,0.17,24,43,15,14,12,10,9,FALSE
1,3,3,0,0,4,2,0.25,2,2.0,2,1,8,1,0,8,1,2,1,15.23,10.5,1679.07,0.05,37,0.1,93.28,159.91,0.5,1,2,8,0.2,14,23,8,12,10,0,8,FALSE
5,18,15,0,0,26,10,0.19,12,2.17,10,1,65,5,0.44,52,0,9,0.9,80.76,27.14,59492.48,0.73,353,0.04,3305.14,2191.94,0.5,7,13,57,0.17,137,216,53,21,59,0,52,FALSE
2,1,3,0,1,0,1,0.2,0,0,1,1,4,1,0,5,0,1,1,23.96,5.85,820.06,0.05,33,0.17,45.56,140.18,1,0,0,5,0.11,13,20,10,9,9,16.67,5,FALSE
1,3,3,0,0,4,2,0.5,2,2.0,2,1,9,1,0,4,0,2,1,19.29,6.72,871.59,0.04,30,0.15,48.42,129.66,0.5,1,2,9,0.33,11,19,9,11,6,0,4,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
0,1,2,0,0,0,1,0.25,0,0,1,1,3,1,0,4,0,1,1,13.44,4,215.1,0.02,15,0.25,11.95,53.77,1,0,0,4,0.2,4,11,4,8,5,0,4,FALSE
3,15,9,1,4,4,10,0.23,2,2.0,8,0.8,45,1,0,42,0,7,0.7,58.91,16.11,15290.22,0.32,176,0.06,849.46,949.05,0.1,1,2,37,0.19,58,118,27,15,52,10.64,43,FALSE
0,4,3,1,0,0,3,0.3,0,0,2,0.67,10,1,0,9,0,2,0.67,16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,0.33,0,0,9,0.27,6,23,5,12,11,10,10,FALSE
0,1,1,0,0,0,1,0.14,0,0,1,1,2,1,0,7,0,1,1,12.19,5,304.72,0.02,17,0.2,16.93,60.94,1,0,0,3,0.13,5,12,4,8,8,0,7,FALSE
1,4,5,0,0,0,3,0.21,0,0,2,0.67,12,1,0,14,0,2,0.67,37.67,8.13,2486.68,0.1,63,0.12,138.15,306.05,0.33,0,0,11,0.18,20,43,16,13,17,0,14,FALSE
9,34,28,1,27,56,18,0.22,26,2.15,15,0.83,116,10,0.53,81,3,16,0.89,93.63,43.69,178710.34,1.36,608,0.02,9928.35,4090.58,0.56,15,28,100,0.15,232,376,77,29,121,25.69,82,FALSE
0,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,1,3,6,3,6,1,0,0,FALSE
1,3,3,0,0,4,2,0.25,2,2.0,2,1,8,1,0,8,1,2,1,15.23,10.5,1679.07,0.05,37,0.1,93.28,159.91,0.5,1,2,8,0.2,14,23,8,12,10,0,8,FALSE
0,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,0,1,1,26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,0,0,4,0.17,12,15,10,7,6,0,5,FALSE
1,20,11,0,2,26,11,0.28,10,2.6,8,0.73,52,1,0,39,3,10,0.91,60.86,22,29456.04,0.45,224,0.05,1636.45,1338.91,0.09,8,13,43,0.25,82,142,41,22,44,4.88,39,FALSE
0,4,3,1,0,0,3,0.3,0,0,2,0.67,10,1,0,9,0,2,0.67,16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,0.33,0,0,9,0.27,6,23,5,12,11,10,10,FALSE
5,3,6,0,1,4,2,0.12,2,2.0,2,1,17,1,0,17,1,1,0.5,50.08,14,9816.39,0.23,139,0.07,545.36,701.17,0.5,1,2,17,0.08,56,83,22,11,24,5.56,17,FALSE
12,14,22,0,1,10,9,0.14,4,2.5,7,0.78,68,4,0.38,66,0,6,0.67,116.42,23.48,64177.21,0.91,418,0.04,3565.4,2733.37,0.44,3,5,61,0.11,161,257,72,21,81,1.49,66,FALSE
0,1,1,0,0,0,1,0.17,0,0,1,1,2,1,0,6,0,1,1,7.75,6,279.04,0.02,14,0.17,15.5,46.51,1,0,0,3,0.14,3,11,2,8,7,0,6,FALSE
0,1,2,0,0,0,1,0.17,0,0,1,1,3,1,0,6,0,1,1,14.68,8.25,999.19,0.04,31,0.12,55.51,121.11,1,0,0,4,0.14,11,20,6,9,7,0,6,FALSE
3,5,7,1,2,8,3,0.18,4,2.0,1,0.33,18,1,0,16,0,3,1,44.98,14.69,9703.67,0.22,125,0.07,539.09,660.68,0.33,2,4,17,0.12,47,78,24,15,25,15.79,17,FALSE
2,3,5,0,1,4,2,0.25,2,2.0,2,1,10,1,0,8,1,2,1,26.84,8.18,1796.86,0.07,50,0.12,99.83,219.62,0.5,1,2,10,0.17,18,32,11,10,12,11.11,8,FALSE
0,3,7,0,0,4,2,0.17,2,2.0,2,1,14,1,0,12,1,1,0.5,41.57,8.24,2819.37,0.11,72,0.12,156.63,342.35,0.5,1,2,14,0.15,28,44,17,10,13,0,12,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,3,0.25,1,5,1,5,4,0,3,FALSE
2,4,3,0,0,0,3,0.21,0,0,3,1,11,1,0,14,1,3,1,26.15,9.17,2197.7,0.08,53,0.11,122.09,239.75,0.33,0,0,10,0.17,20,33,12,11,18,0,14,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
9,3,9,0,4,4,2,0.1,2,2.0,2,1,22,1,0,21,0,1,0.5,71.77,11.08,8806.58,0.27,155,0.09,489.25,795.04,0.5,1,2,22,0.06,64,91,26,9,35,16,21,FALSE
0,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,0,1,1,26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,0,0,4,0.17,12,15,10,7,6,0,5,FALSE
1,1,3,0,0,0,1,0.2,0,0,1,1,4,1,0,5,3,1,1,34.59,3.55,434.76,0.04,30,0.28,24.15,122.62,1,0,0,5,0.13,13,17,11,6,8,0,5,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.25,3,6,3,6,4,0,3,FALSE
0,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,1,3,6,3,6,1,0,0,FALSE
