LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
2,1,0,0,3,0,1,0.17,0,0,1,1,1,1,0,6,1,14.09,5.4,410.98,0.03,22,0.19,22.83,76.11,1,0,0,2,0.08,9,13,5,6,12,33.33,6,FALSE
3,5,4,0,4,8,3,0.25,4,2.0,3,1,11,1,0,12,2,42.23,6.94,2036.45,0.1,61,0.14,113.14,293.25,0.33,2,4,10,0.15,25,36,18,10,20,25,12,FALSE
4,11,2,0,8,20,6,0.3,10,2.0,3,0.5,24,1,0,20,1,22.99,18.44,7817.84,0.14,82,0.05,434.32,423.93,0.17,5,10,20,0.18,33,49,17,19,33,28.57,20,FALSE
2,7,4,0,1,12,4,0.25,6,2.0,4,1,19,4,1,16,0,42.95,4.15,741.1,0.06,42,0.24,41.17,178.41,1,3,6,17,0.2,18,24,13,6,20,5.88,16,FALSE
1,1,3,0,4,0,1,0.14,0,0,1,1,6,1,0,7,0,44.57,3.46,534.07,0.05,37,0.29,29.67,154.29,1,0,0,7,0.08,18,19,13,5,13,36.36,7,FALSE
1,5,4,0,0,8,3,0.27,4,2.0,3,1,13,1,0,11,0,31.66,6.43,1308.6,0.07,45,0.16,72.7,203.56,0.33,2,4,12,0.23,20,25,14,9,13,0,11,FALSE
11,12,10,0,15,6,9,0.16,2,3.0,8,0.89,29,1,0,58,0,39.93,28.29,31947.46,0.38,170,0.04,1774.86,1129.46,0.11,2,3,22,0.11,72,98,56,44,85,20.55,58,FALSE
2,1,2,13,4,0,1,0.06,0,0,1,1,15,1,0,3,1,104.67,3.73,1454.15,0.13,83,0.27,80.79,390.14,1,0,0,16,0.04,41,42,22,4,23,85,16,FALSE
1,3,1,0,1,4,2,0.2,2,2.0,1,0.5,7,1,0,10,2,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,0.5,1,2,7,0.15,9,17,7,12,13,9.09,10,FALSE
4,9,2,0,8,14,5,0.31,6,2.33,2,0.4,18,4,0,16,0,16.51,22.88,8646.51,0.13,77,0.04,480.36,377.83,0.8,4,7,15,0.17,35,42,13,17,29,33.33,16,FALSE
5,5,1,0,3,8,3,0.2,4,2.0,2,0.67,10,1,0,15,2,17.13,15.61,4172.6,0.09,53,0.06,231.81,267.35,0.33,2,4,9,0.13,23,30,14,19,24,16.67,15,FALSE
2,1,1,0,0,0,1,0.06,0,0,1,1,13,1,0,17,0,48.18,7.31,2576.16,0.12,79,0.14,143.12,352.3,1,0,0,14,0.05,39,40,16,6,20,0,17,FALSE
1,1,1,0,0,0,1,0.17,0,0,1,1,2,1,0,6,0,9.6,6.13,360.21,0.02,17,0.16,20.01,58.81,1,0,0,3,0.13,7,10,4,7,8,0,6,FALSE
7,3,3,0,21,4,2,0.18,2,2.0,1,0.5,10,1,0,11,4,23.74,8.88,1873.84,0.07,46,0.11,104.1,210.91,0.5,1,2,10,0.05,21,25,13,11,40,65.63,11,FALSE
3,5,4,0,6,8,3,0.18,4,2.0,3,1,13,1,0,17,1,39.99,5.59,1248.86,0.07,47,0.18,69.38,223.48,0.33,2,4,12,0.11,19,28,17,10,27,26.09,17,FALSE
2,3,3,0,0,0,2,0.07,0,0,2,1,7,1,0,28,2,29.49,12.89,4898.45,0.13,67,0.08,272.14,380.05,0.5,0,0,7,0.06,29,38,27,24,31,0,28,FALSE
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0,12,0,27.49,6.42,1132.02,0.06,39,0.16,62.89,176.42,0.25,3,6,13,0.27,14,25,12,11,15,0,12,FALSE
3,6,5,0,0,4,4,0.2,2,2.0,4,1,15,1,0,20,0,31.73,7.46,1767.82,0.08,51,0.13,98.21,236.84,0.25,1,2,13,0.17,19,32,14,11,24,0,20,FALSE
6,3,6,0,5,4,2,0.15,2,2.0,2,1,13,1,0,13,0,56.22,3.44,664.34,0.06,44,0.29,36.91,193.26,0.5,1,2,13,0.08,22,22,16,5,25,27.78,13,FALSE
15,11,10,0,13,16,6,0.14,6,2.67,5,0.83,50,4,0,44,0,67.17,16.45,18176.24,0.37,192,0.06,1009.79,1104.94,0.67,5,8,46,0.08,94,98,40,14,73,22.81,44,FALSE
0,1,1,0,0,0,1,0.2,0,0,1,1,4,1,0,5,0,16.21,2.25,82.12,0.01,13,0.44,4.56,36.5,1,0,0,5,0.17,6,7,4,3,6,0,5,FALSE
1,1,0,0,3,0,1,0.33,0,0,1,1,1,1,0,3,1,9.88,5.25,272.43,0.02,15,0.19,15.14,51.89,1,0,0,2,0.13,6,9,4,7,8,50,3,FALSE
4,1,2,0,3,0,1,0.09,0,0,1,1,4,1,0,11,0,33.23,6.07,1224.84,0.07,44,0.16,68.05,201.74,1,0,0,5,0.05,17,27,14,10,19,21.43,11,FALSE
7,1,7,0,5,0,1,0.08,0,0,1,1,11,1,0,12,0,76.37,2.59,511.58,0.07,45,0.39,28.42,197.65,1,0,0,12,0.04,22,23,17,4,25,29.41,12,FALSE
4,9,3,0,5,16,5,0.5,6,2.67,4,0.8,18,1,0,10,1,18.99,10.77,2201.88,0.07,43,0.09,122.33,204.46,0.2,5,8,15,0.25,20,23,13,14,20,33.33,10,FALSE
5,4,4,0,3,0,3,0.15,0,0,3,1,11,1,0,20,2,30.77,9.38,2704.14,0.1,60,0.11,150.23,288.44,0.33,0,0,10,0.1,25,35,16,12,29,13.04,20,FALSE
2,1,0,0,1,0,1,0.17,0,0,1,1,1,1,0,6,1,14.09,5.4,410.98,0.03,22,0.19,22.83,76.11,1,0,0,2,0.1,9,13,5,6,10,14.29,6,FALSE
1,3,0,0,1,4,2,0.22,2,2.0,1,0.5,6,1,0,9,0,14.17,3.75,199.32,0.02,16,0.27,11.07,53.15,0.5,1,2,6,0.17,5,11,4,6,12,10,9,FALSE
9,1,4,0,5,0,1,0.08,0,0,1,1,10,1,0,12,0,70.72,2.75,534.84,0.06,45,0.36,29.71,194.49,1,0,0,11,0.04,22,23,16,4,27,29.41,12,FALSE
0,1,3,0,5,0,1,0.17,0,0,1,1,5,1,0,6,0,60.1,2.43,354.44,0.05,35,0.41,19.69,145.95,1,0,0,6,0.08,17,18,14,4,12,45.45,6,FALSE
5,7,5,0,0,12,4,0.13,6,2.0,4,1,17,1,0,30,0,57.87,13.1,9925.73,0.25,138,0.08,551.43,757.88,0.25,3,6,15,0.11,58,80,31,14,36,0,30,FALSE
2,7,5,0,1,8,4,0.44,2,4.0,2,0.5,16,4,1,9,0,29.41,7.6,1698.45,0.07,47,0.13,94.36,223.48,1,3,4,14,0.31,19,28,15,12,13,10,9,TRUE
2,9,1,0,4,16,5,0.36,8,2.0,2,0.4,21,1,0,14,0,17.84,14.5,3750.38,0.09,58,0.07,208.35,258.64,0.2,4,8,18,0.24,29,29,11,11,21,22.22,14,FALSE
