BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.5,1,3,1,3,2,0,0,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,1,0,1,0,0,FALSE
1,4,7,24,0,1,0.13,0,0,1,1,6,1,0,1,0,17.88,7.43,986.77,0.04,34,0.13,54.82,132.83,1,0,0,7,0.03,13,21,7,8,34,96.88,8,FALSE
1,1,11,3,0,1,0.08,0,0,1,1,2,1,0,1,0,42.62,7.81,2598.31,0.11,77,0.13,144.35,332.79,1,0,0,3,0.06,29,48,13,7,17,93.33,12,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,1,3,33.44,0.63,13.06,0.01,9,1.6,0.73,20.9,1,0,0,3,0.33,5,4,4,1,3,0,1,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,4,0.5,1,0,2,2,0.06,2,1,0,0,3,1,1,1,1,1,1,0,0,FALSE
1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,2,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1,0,0,2,0.33,4,7,4,7,3,50,2,FALSE
3,1,1,0,6,2,1,2,3.0,1,0.5,5,1,0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0.5,2,3,5,0.5,5,9,4,7,4,50,2,FALSE
1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,7.74,1.5,17.41,0,5,0.67,0.97,11.61,1,0,0,2,0.25,2,3,2,3,4,50,2,FALSE
5,1,9,10,6,3,0.25,2,3.0,2,0.67,9,3,1,3,3,15.53,18.9,5545.97,0.1,64,0.05,308.11,293.44,1,2,3,8,0.13,27,37,10,14,24,86.36,12,FALSE
1,0,3,5,0,1,0.25,0,0,1,1,1,1,0,1,1,20.84,3.94,323.05,0.03,21,0.25,17.95,82.04,1,0,0,2,0.09,9,12,8,7,11,88.89,4,FALSE
1,2,1,0,0,1,0.5,0,0,1,1,3,1,0,1,0,7.24,2.5,45.24,0.01,7,0.4,2.51,18.09,1,0,0,4,0.33,1,6,1,5,3,50,2,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,1,3,5,3,5,1,0,0,FALSE
1,3,2,0,0,1,0.33,0,0,1,1,5,1,0,1,0,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,6,0.2,2,4,2,4,5,66.67,3,FALSE
1,0,1,0,4,1,0.5,2,2.0,1,1,1,1,0,1,2,8,3,72,0.01,8,0.33,4,24,1,1,2,2,0.2,2,6,2,6,5,50,2,FALSE
3,0,1,0,4,2,1,2,2.0,1,0.5,7,1,0,1,3,11.42,6.67,507.65,0.03,20,0.15,28.2,76.15,0.5,1,2,7,0.5,10,10,6,8,4,50,2,FALSE
11,10,18,0,18,6,0.27,8,2.25,6,1,27,6,1,4,6,21.7,25.8,14446.14,0.19,111,0.04,802.56,559.93,1,5,9,23,0.23,43,68,15,18,26,81.82,22,FALSE
1,1,3,0,0,1,0.25,0,0,1,1,2,1,0,1,11,33.98,3.5,416.3,0.04,28,0.29,23.13,118.94,1,0,0,3,0.17,12,16,12,7,6,75,4,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,1,3,5,3,5,1,0,0,FALSE
3,0,0,0,4,2,1,2,2.0,1,0.5,6,1,0,2,4,10.8,3.33,120,0.01,12,0.3,6.67,36,0.5,1,2,6,0.4,4,8,3,5,5,0,2,FALSE
1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,50,2,FALSE
1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,1,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,2,0.33,1,4,1,4,3,50,2,FALSE
1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,9.6,2.5,60,0.01,8,0.4,3.33,24,1,0,0,3,1,3,5,3,5,1,0,0,FALSE
3,0,8,0,4,2,0.22,2,2.0,1,0.5,6,1,0,1,3,18.88,36.9,25706.76,0.23,164,0.03,1428.15,696.66,0.5,1,2,6,0.15,82,82,10,9,13,88.89,9,FALSE
1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
1,0,1,0,0,1,0.5,0,0,1,1,1,1,0,1,0,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,2,0.25,1,4,1,4,4,50,2,FALSE
5,3,10,0,8,3,0.21,4,2.0,3,1,12,1,0,4,0,18.12,4.2,319.65,0.03,22,0.24,17.76,76.11,0.33,2,4,11,0.19,7,15,5,6,16,71.43,14,FALSE
