order,sub_no,cond,trial,id,p,x,q,y,choice
0,0,0,0,137,60,500,100,10,0
0,0,0,1,26,60,50,100,10,0
0,0,0,2,90,60,200,100,10,0
0,0,0,3,68,20,200,100,20,1
0,0,0,4,55,60,100,100,20,0
0,0,0,5,28,60,50,100,20,1
0,0,0,6,42,20,100,100,50,1
0,0,0,7,176,60,20,20,20,0
0,0,0,8,80,40,200,60,20,0
0,0,0,9,164,100,200,100,100,0
0,0,0,10,174,80,500,60,20,0
0,0,0,11,35,20,100,40,20,1
0,0,0,12,27,60,50,80,20,0
0,0,0,13,14,20,50,100,10,1
0,0,0,14,43,40,100,60,10,0
0,0,0,15,135,40,500,100,200,1
0,0,0,16,2,20,20,60,10,1
0,0,0,17,99,80,200,100,50,1
0,0,0,18,11,20,50,40,10,0
0,0,0,19,65,20,200,40,20,0
0,0,0,20,45,40,100,100,10,1
0,0,0,21,114,20,500,60,100,1
0,0,0,22,15,20,50,40,20,1
0,0,0,23,153,100,10,20,10,0
0,0,0,24,155,20,500,20,100,0
0,0,0,25,57,60,100,100,50,1
0,0,0,26,121,40,500,60,10,0
0,0,0,27,9,60,20,100,10,1
0,0,0,28,84,40,200,80,50,1
0,0,0,29,96,60,200,100,100,1
0,0,0,30,147,80,500,100,20,0
0,0,0,31,58,80,100,100,10,0
0,0,0,32,105,20,500,40,20,1
0,0,0,33,132,40,500,100,100,1
0,0,0,34,3,20,20,80,10,1
0,0,0,35,160,60,500,20,500,0
0,0,0,36,102,20,500,60,10,1
0,0,0,37,83,40,200,60,50,1
0,0,0,38,138,60,500,80,20,0
0,0,0,39,44,40,100,80,10,1
0,0,0,40,48,40,100,100,20,1
0,0,0,41,67,20,200,80,20,1
0,0,0,42,93,60,200,80,50,0
0,0,0,43,71,20,200,80,50,1
0,0,0,44,7,40,20,100,10,1
0,0,0,45,136,60,500,80,10,0
0,0,0,46,144,60,500,80,200,0
0,0,0,47,40,20,100,60,50,1
0,0,0,48,130,40,500,60,100,1
0,0,0,49,30,80,50,100,20,1
0,0,0,50,63,20,200,80,10,1
0,0,0,51,158,40,100,20,10,0
0,0,0,52,49,40,100,60,50,1
0,0,0,53,69,20,200,40,50,1
0,0,0,54,152,100,100,100,20,1
0,0,0,55,12,20,50,60,10,1
0,0,0,56,100,80,200,100,100,1
0,0,0,57,50,40,100,80,50,1
0,0,0,58,34,20,100,100,10,1
0,0,0,59,150,80,500,100,200,1
0,0,0,60,142,60,500,80,100,1
0,0,0,61,115,20,500,80,100,1
0,0,0,62,38,20,100,100,20,1
0,0,0,63,110,20,500,60,50,1
0,0,0,64,109,20,500,40,50,1
0,0,0,65,10,80,20,100,10,1
0,0,0,66,165,20,50,20,10,0
0,0,0,67,77,40,200,60,10,0
0,0,0,68,107,20,500,80,20,0
0,0,0,69,127,40,500,60,50,0
0,0,0,70,54,60,100,80,20,1
0,0,0,71,129,40,500,100,50,1
0,0,0,72,89,60,200,80,10,0
0,0,0,73,148,80,500,100,50,0
0,0,0,74,177,100,200,80,50,0
0,0,0,75,140,60,500,80,50,0
0,0,0,76,85,40,200,100,50,1
0,0,0,77,72,20,200,100,50,1
0,0,0,78,59,80,100,100,20,1
0,0,0,79,116,20,500,100,100,1
0,0,0,80,167,100,200,100,10,0
0,0,0,81,112,20,500,100,50,1
0,0,0,82,171,60,20,20,10,0
0,0,0,83,86,40,200,60,100,1
0,0,0,84,16,20,50,60,20,1
0,0,0,85,133,40,500,60,200,1
0,0,0,86,172,80,20,60,10,0
0,0,0,87,145,60,500,100,200,1
0,0,0,88,128,40,500,80,50,1
0,0,0,89,120,20,500,100,200,1
0,0,0,90,61,20,200,40,10,0
0,0,0,91,141,60,500,100,50,1
0,0,0,92,125,40,500,80,20,1
0,0,0,93,168,100,10,80,10,0
