Month	Year	PCs	Spreadsheets	WordProcessors
1	87	40164	3811	5815
2	87	41303	4119	5814
3	87	42466	4134	6294
4	87	35525	3456	6224
5	87	36513	2739	5004
6	87	37521	3130	5755
7	87	34961	3282	5299
8	87	35913	3913	5780
9	87	36884	3659	5209
10	87	45856	4290	4969
11	87	47076	4552	5336
12	87	48319	4849	4874
1	88	52560	4458	5667
2	88	53924	6219	5764
3	88	55310	6840	8227
4	88	46498	4806	5847
5	88	47670	4908	6178
6	88	48860	5629	6699
7	88	45769	4483	6285
8	88	46887	5166	7459
9	88	48020	5430	7096
10	88	60047	4912	8603
11	88	61462	5280	9096
12	88	62893	6033	8002
1	89	76022	6745	12645
2	89	77745	8874	12891
3	89	79483	9335	13916
4	89	67270	8366	12422
5	89	68730	7654	13544
6	89	70198	9543	11448
7	89	66232	8051	12750
8	89	67601	7621	12138
9	89	68974	8833	15916
10	89	86915	8176	17508
11	89	88615	9276	14972
12	89	90315	13510	12930
1	90	96098	13481	16075
2	90	97866	12336	17063
3	90	99627	13711	17409
4	90	94725	12547	12965
5	90	96351	10199	12182
6	90	97964	9857	14309
7	90	76556	10228	11549
8	90	77770	9881	12983
9	90	78969	10870	10487
10	90	103640	10453	12580
11	90	105142	9309	12466
12	90	106618	14425	13133
1	91	100641	14428	13135
2	91	101958	19068	15094
3	91	103241	15162	13375
4	91	92712	16010	12024
5	91	93787	17292	10306
6	91	94827	15126	11709
7	91	95080	12832	8943
8	91	96037	11274	10510
9	91	96953	12250	9853
10	91	113410	11494	10782
11	91	114371	16130	11635
12	91	115279	12505	12158
1	92	123043	16313	6249
2	92	123886	13836	13719
3	92	124667	19094	19116
4	92	92329	12205	24610
5	92	92808	11144	23890
6	92	93238	10273	23971
7	92	107933	12130	22614
8	92	108312	11655	19814
