INSPID  TREAT SESSION TEAMSIZE REPAIR NCSL TRUEDEF SOFTMAINT FALSEPOS 	PREMEET POSTMEET          EFFRATE PREPDEF POVERLAP MEETGAIN 	           MOVERLAP AUTHOR            FUNC PRETEST PHASE AVAILOFFS 	AVAILMONTH PREMEET2 RA RB RC RD RE RF RG RH RI RJ RK RL RM RN RO RP RQ 
     1  1sX4p       1        4      0  261      15         9        3	      6       49 53.3205619412516      11        0        4	                  0      3  Code_Generator    4.00     1        46	     94/08        8  1  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
     2 2sX1pN       2        1      1  231       8        25        6	     20        2 38.2395382395382       3        0        5	                  0      3  Code_Generator    4.00     1        46	     94/08       43  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0
     3  1sX4p       1        4      0  135       0         7        4	     12        2 49.3827160493827       0        0        0	                  0      3  Code_Generator    0.00     1        50	     94/08       33  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
     4 2sX1pN       2        1      1  623      17        40        9	      8       14 20.9722222222222       9        2        8	               0.15      3  Code_Generator    0.00     2       266	     95/03       12  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
     5 2sX1pR       2        1      2  590       9        13        6	      8        0 18.4953703703704       3        0        6	                  0      2    Input/Output    3.00     1         1	     94/07       26  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     6  1sX4p       1        4      0  177       4        12        2	      4        0           55.625       4        3        0	                  0      2    Input/Output    0.50     1         1	     94/07        6  1  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0
     7 2sX1pR       2        1      2  254      14        22        7	      5        3 21.1052631578947       7        0        7	                  0      2    Input/Output    5.00     1         1	     94/07        7  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
     8 2sX2pN       2        2      1  279      15        32        4	     13        2 41.2186379928315       9        5        6	 0.2105263157894737      2    Input/Output    2.00     1         7	     94/07       33  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0
     9  1sX2p       1        2      0  212       7        15        1	     10        3 15.7232704402516       5        0        2	                  0      2    Input/Output    8.00     1         7	     94/07       28  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0
    10 2sX1pR       2        1      2  395       1        18        7	      9        1 18.0792969975939       0        0        1	                  0      2    Input/Output    0.00     1        47	     94/08       13  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    11  1sX1p       1        1      0  130       3         7        2	      4       18             12.5       2        0        1	                  0      2    Input/Output    0.00     1        91	     94/09        6  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    12  1sX4p       1        4      0   79       0         6        2	     11        0 48.5232067510549       0        0        0	                  0      2    Input/Output    0.25     2       244	     95/03       15  0  0  0  0  0  1  1  0  1  1  0  0  0  0  0  0  0
    13 2sX1pN       2        1      1  265       1         8        6	     13       10  19.937106918239       1        0        0	                  0      2    Input/Output    4.00     2       462	     95/10       19  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
    14  1sX4p       1        4      0  350       8        18       12	     19       17  49.952380952381       2        0        6	                  0      2 Errors/Diagnose    2.00     2       285	     95/04       27  0  0  0  0  0  1  0  1  1  1  0  0  0  0  0  0  0
    15 2sX2pN       2        2      1  400       3        16        2	     16       14 20.4166666666667       1        0        2	                  0      2 Errors/Diagnose    2.00     2       285	     95/04       22  1  0  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0
    16  1sX2p       1        2      0  450       2        27        9	      7        5               20       1        0        1	                  0      2 Errors/Diagnose    2.00     2       285	     95/04       13  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
    17  1sX2p       1        2      0  223      10         2        3	      1        0 17.5675675675676       7        0        3	                  0      4            Misc   10.00     1        43	     94/08        3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
    18 2sX1pN       2        1      1  192       0        23        5	      2        0 20.3993055555556       0        0        0	                  0      4            Misc    0.00     1        49	     94/08        4  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    19 2sX1pN       2        1      1  320       6        14        5	     11       54 14.3229166666667       5        0        1	 0.1428571428571429      5       Optimizer    4.00     2       229	     95/02       15  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0
    20  1sX4p       1        4      0  220       7        31        4	     12       10 51.6666666666667       3        1        4	                  0      5       Optimizer    4.00     2       229	     95/02       16  0  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0
    21 2sX2pR       2        2      2  296      20        56       14	     17        2 73.4593023255814      13        1        7	                  0      1          Parser    2.00     1        11	     94/07       23  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0
    22  1sX2p       1        2      0  889      17        24       15	      7        5 30.4074074074074       7        1       10	                  0      1          Parser   32.00     1        19	     94/07        9  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    23  1sX2p       1        2      0  967       5        13        4	     14        2 18.9814814814815       2        0        3	                  0      1          Parser   16.00     1        19	     94/07       20  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    24  1sX2p       1        2      0  763       3        45        4	      6       14 17.1472258628222       1        0        2	                  0      1 Errors/Diagnose   80.00     2       243	     95/02       10  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0
    25 2sX2pN       2        2      1 1030       6         4        3	     15        2 5.87378640776699       4        2        2	                0.4      5  Code_Generator    0.50     2       238	     95/02       21  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0  0
    26  1sX4p       1        4      0  199       6        34        3	     16        2 90.3685092127303       4        2        2	                  0      3  Code_Generator    4.00     2       376	     95/07       22  0  1  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0
    27  1sX2p       1        2      0  440      14        14       10	     20        6 15.8712121212121       3        0       11	                  0      4  Code_Generator   10.00     2       383	     95/07       28  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0
    28  1sX4p       1        4      0  364       6        15        9	     16        5 24.5879120879121       4        0        2	                  0      4  Code_Generator    3.00     2       383	     95/07       22  0  1  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0
    29 2sX1pN       2        1      1  118       0         9        0	     10       12 16.9491525423729       0        0        0	                  0      4  Code_Generator   10.00     2       383	     95/07       14  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0
    30 2sX2pN       2        2      1  321       5        37       15	     15       10 32.6583592938733       1        0        4	 0.1666666666666666      4  Code_Generator   10.00     2       383	     95/07       21  0  0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0
    31 2sX1pN       2        1      1  906      15        39        8	      7        1 14.5879323031641       7        1        8	 0.1666666666666666      4  Code_Generator   10.00     2       383	     95/07        9  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    32 2sX2pN       2        2      1  623       1         1        4	     33        1 22.6666666666667       1        0        0	                  0      6  Code_Generator    1.00     2       425	     95/08       45  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0
    33 2sX1pN       2        1      1  566       7        33        9	     12        3 12.4852767962309       4        1        3	              0.125      3  Code_Generator    2.00     2       454	     95/09       16  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0
    34  1sX2p       1        2      0  458       2         7        4	     16        0  9.6433770014556       1        1        1	                  0      6         Library    0.00     2       477	     95/10       24  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    35  1sX4p       1        4      0  165       1        16        2	      7        7 39.6969696969697       0        0        1	                  0      4  Code_Generator    0.00     2       278	     95/04        9  1  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0
    36  1sX2p       1        2      0   89       3         2        0	     11        0 18.1647940074906       0        0        3	                  0      6  Code_Generator    0.00     2       506	     95/11       17  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    37  1sX4p       1        4      0  361       5        14        6	     10        4 40.1662049861496       4        0        1	                  0      6         Library    0.50     2       299	     95/04       14  0  1  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1
    38  1sX2p       1        2      0  379       7        22        0	      6        8 13.4124890061566       2        1        5	                  0      6         Library    0.00     2       299	     95/04        8  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0
    39 2sX1pN       2        1      1  428       8        20        5	      7        4 16.2772585669782       3        1        5	                0.2      6         Library    0.00     2       323	     95/05       11  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    40 2sX2pN       2        2      1  230       0        26        4	      8        3 39.3478260869565       0        0        0	                  0      6         Library    0.00     2       323	     95/05       12  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0
    41 2sX1pN       2        1      1  245       6        17        2	      8        4  11.156462585034       2        1        4	 0.1428571428571429      6         Library    0.00     2       323	     95/05       12  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0
    42 2sX2pN       2        2      1  363       9        22        8	      5       43 52.6666666666667       2        1        7	 0.1818181818181818      6         Library    0.00     2       323	     95/05        7  0  1  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0
    43  1sX2p       1        2      0  291       1        12        4	      3       46 20.0458190148912       1        0        0	                  0      6         Library    0.00     2       323	     95/05        5  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
    44 2sX2pN       2        2      1  267       2        10        5	     12       13 21.1610486891386       2        2        0	 0.3333333333333334      3  Code_Generator    0.00     2       312	     95/05       16  0  0  0  0  1  0  1  0  0  1  1  0  0  0  0  0  0
    45 2sX1pN       2        1      1  231       1         5        4	     21       28 12.1933621933622       1        0        0	                  0      6         Library    0.00     2       327	     95/05       29  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0
    46  1sX4p       1        4      0  250       1         8        3	     20       30 18.3333333333333       1        0        0	                  0      6         Library    0.10     2       327	     95/05       28  0  0  1  0  1  0  0  1  1  0  0  0  0  0  0  0  0
    47 2sX2pN       2        2      1  200       3         9        6	     19       15            35.25       3        0        0	                  0      6  Code_Generator    0.00     2       347	     95/06       25  0  0  0  1  0  0  0  1  0  1  1  0  0  0  0  0  0
    48  1sX2p       1        2      0  400       0         4        0	     12       22            5.875       0        0        0	                  0      6  Code_Generator    0.00     2       347	     95/06       16  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0
    49 2sX2pN       2        2      1  203       2        15        4	     10       56  37.192118226601       1        1        1	 0.3333333333333334      6  Code_Generator    0.00     2       383	     95/07       14  0  1  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0
    50  1sX2p       1        2      0  344       3         8        1	     10       17 12.1124031007752       0        0        3	                  0      6  Code_Generator    0.00     2       383	     95/07       14  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0
    51  1sX2p       1        2      0  303       5        15        3	     39        3 23.1023102310231       4        1        1	                  0      3  Code_Generator    1.00     2       356	     95/06       55  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
    52  1sX2p       1        2      0  374       6        15        4	     22       52 19.8752228163993       3        0        3	                  0      6         Library    0.00     2       370	     95/07       30  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0
    53 2sX2pN       2        2      1  491       1        11        8	     18       26 12.6612355736592       1        0        0	                  0      6         Library    0.00     2       370	     95/07       26  0  0  1  0  1  0  0  1  0  1  0  0  0  0  0  0  0
    54 2sX2pR       2        2      2  370      20        42       14	      9        1 45.4238664894403      14        2        6	                  0      4            Misc    0.00     1        13	     94/07       13  1  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0
    55 2sX2pN       2        2      1  132       5        13        6	      6        0 41.2878787878788       4        0        1	 0.1666666666666666      4            Misc    0.00     1        13	     94/07        8  0  0  1  0  1  0  0  0  0  0  0  0  1  1  0  0  0
    56  1sX2p       1        2      0  280       2        10        6	      7       10 26.6393442622951       2        0        0	                  0      4            Misc    0.00     1        28	     94/07       11  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0
    57 2sX2pN       2        2      1  107      11        13        6	      5        9 66.6666666666667       8        1        3	                  0      4            Misc    0.00     1        33	     94/08        7  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
    58 2sX1pN       2        1      1  260       9        28        2	      3        0 36.4035087719298       4        0        5	0.09999999999999998      4            Misc    2.00     1        53	     94/08        3  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    59  1sX2p       1        2      0   95       0         5        6	      2        0  22.280701754386       0        0        0	                  0      4            Misc    0.00     2       110	     94/10        2  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    60  1sX1p       1        1      0   34       0         2        1	      0        0 11.7647058823529       0        0        0	                  0      4            Misc    0.00     2       165	     94/12        0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    61  1sX2p       1        2      0   54       0        12        0	      9        0 37.6543209876543       0        0        0	                  0      4            Misc    0.25     2       246	     95/03       13  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    62  1sX2p       1        2      0   73       3         4        2	      2        0 36.5296803652968       2        0        1	                  0      4            Misc    0.00     2       432	     95/09        2  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
    63  1sX4p       1        4      0  841       9         7        5	      8       38               24       2        0        7	                  0      5  Code_Generator    8.00     1        28	     94/07       18  1  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0  0
    64 2sX2pN       2        2      1  404      11        23        8	     15       31 63.3333333333333       4        1        7	0.08333333333333337      5  Code_Generator    8.00     1        28	     94/07       27  0  1  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0
    65 2sX1pR       2        1      2  316       3        13        4	     16       45 25.3022213847539       2        0        1	                  0      5  Code_Generator    0.50     2       229	     95/02       22  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    66  1sX2p       1        2      0  126       4        19        2	      5       54 51.8518518518519       4        1        0	                  0      5  Code_Generator    4.00     2       236	     95/02        7  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
    67 2sX1pN       2        1      1  123       3        11        1	      8       13 23.3062330623306       1        0        2	                  0      5  Code_Generator    0.50     2       238	     95/02       12  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    68  1sX4p       1        4      0  228       1        13        0	     25        1 30.8479532163743       1        0        0	                  0      5  Code_Generator    0.50     2       473	     95/10       35  0  1  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0
    69  1sX2p       1        2      0  197       2        10        2	     18       16 25.1269035532995       1        0        1	                  0      5  Code_Generator    0.50     2       473	     95/10       24  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0
    70  1sX1p       1        1      0  303       3         9        2	     19        7 9.07590759075908       0        0        3	                  0      6    Symbol_Table    2.00     1        33	     94/08       27  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    71  1sX2p       1        2      0  139       4         6        2	      8        1 23.2613908872902       3        0        1	                  0      6    Symbol_Table    1.00     2       405	     95/08       12  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0
    72 2sX1pN       2        1      1  135       0        14        5	      4        3 91.4814814814815       0        0        0	                  0      6    Symbol_Table    0.50     2       428	     95/09        6  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
    73  1sX2p       1        2      0   78       0         2        2	     25        0 11.7521367521368       0        0        0	                  0      6    Symbol_Table    2.00     2       446	     95/09       35  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0
    74 2sX2pN       2        2      1  261       4         6        2	     11        5 68.8405797101449       2        0        2	                0.2      6    Symbol_Table    0.50     1        34	     94/08       15  1  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0
    75 2sX2pR       2        2      2  382       6        36        7	     36        5 38.3865113690973       4        0        2	                  0      6    Symbol_Table    0.75     1        56	     94/08       50  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0
    76  1sX1p       1        1      0  571      10        17        2	     10        0 7.88091068301226       7        0        3	                  0      6    Symbol_Table    0.50     1        56	     94/08       14  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    77 2sX1pN       2        1      1  150       0        24        2	     21        0 28.1111111111111       0        0        0	                  0      6    Symbol_Table    0.30     1        75	     94/09       29  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
    78  1sX1p       1        1      0   26       0         1        1	      2        0 32.0512820512821       0        0        0	                  0      6    Symbol_Table    0.00     2       110	     94/10        2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    79  1sX2p       1        2      0  249       5         9        2	      1       43 18.0722891566265       4        2        1	                  0      1    Symbol_Table    0.50     2       173	     94/12        1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    80 2sX1pN       2        1      1  486       3        12        1	     18        9 21.5833333333333       3        1        0	               0.25      1    Symbol_Table   16.00     2       183	     94/12       26  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
    81 2sX1pN       2        1      1   95       1         5        5	     20       14 21.4035087719298       1        0        0	                0.5      6    Symbol_Table    0.50     2       253	     95/03       28  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0
    82  1sX2p       1        2      0  234       1         5        1	     17        5 18.5185185185185       0        0        1	                  0      6    Symbol_Table    1.00     2       287	     95/04       25  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0
    83 2sX1pR       2        1      2  389       0         6        5	     26       10 14.4642190143476       0        0        0	                  0      6    Symbol_Table    0.25     1        13	     94/07       36  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0
    84  1sX2p       1        2      0  323       3         5        6	     20       11  21.671826625387       0        0        3	                  0      6    Symbol_Table    0.50     1        13	     94/07       28  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0
    85  1sX1p       1        1      0  251       0         0        3	      6       28                5       0        0        0	                  0      6    Symbol_Table    0.50     1        56	     94/08        8  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
    86 2sX2pR       2        2      2  227       3        22        2	     23       24  38.053492484527       3        0        0	                  0      6    Symbol_Table    2.00     2       140	     94/11       33  0  1  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0
    87  1sX1p       1        1      0   64       0         0        1	     37        0         19.53125       0        0        0	                  0      6    Symbol_Table    0.00     2       208	     95/01       51  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
    88 2sX1pN       2        1      1  284       3        10        2	      6        7 32.8638497652582       1        0        2	                  0      6    Symbol_Table    2.00     2       229	     95/02        8  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
