INSPID ROUND  TREAT S_NCSL S_FALSEPOS S_SOFTMAINT S_TRUEDEF S_MAJORISS S_MEETGAIN S_PREPDEF S_MEETDUR TEAM_ILOAD_PRE TEAM_RLOAD_PRE TEAM_MLOAD_PRE AUTH_ILOAD_PRE AUTH_RLOAD_PRE AUTH_MLOAD_PRE AUTH_ILOAD_POS AUTH_RLOAD_POS AUTH_MLOAD_POS S_AVAILDATE S_MEETDATE S_REPAIRDATE S_AVAILMONTH S_AV2DIST S_DIST2PREP S_PREP2PREP S_PREP2MEET S_MEET2MEET S_MEET2REP S_REP2REP S_PREMEET S_POSTMEET S_RA S_RB S_RC S_RD S_RE S_RF S_RG S_RH S_RI S_RJ S_RK S_RL S_RM S_RN S_RO S_RP S_RQ 
     1     1  1sX4p    261          3           9        15          4          4        11 1.6666667     5.40000000     4.53333333      6.6666667     3.40000000     2.06666667      1.2000000     3.66666667      2.4000000      1.2666667          46         54          138        94/08         2           2           2           0           0         24        36         6         60    1    1    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0
     2     1 2sX1pN    231          1           8         3          0          1         2 1.2500000     3.20000000     1.93333333      0.0000000     3.40000000     2.06666667      1.2000000     3.60000000      2.1333333      1.3333333          46         49           91        94/08         1           1           1           0           0         29         1         3         30    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
     2     2 2sX1pN    231          5          18         5          0          4         1 0.9166667     5.40000000     4.53333333      6.6666667     3.40000000     2.06666667      1.2000000     1.46666667      2.7333333      1.5333333          46         89           91        94/08         1          30           0           0           0          1         1        31          2    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
     3     1  1sX4p    135          4           7         0          1          0         0 0.7500000     3.20000000     3.06666667      2.0666667     3.60000000     2.13333333      1.3333333     1.46666667      2.2000000      1.8666667          50         83           85        94/08         9           6           8           0           0          1         1        23          2    0    1    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0
     4     1 2sX1pN    623          6          20         7          0          5         2 1.3333333     0.60000000     4.33333333      3.6000000     1.66666667     0.60000000      0.5333333     1.53333333      0.6666667      1.6000000         266        273          279        95/03         1           3           1           0           0          0         4         5          4    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
     4     2 2sX1pN    623          6          27        13          2          4         9 1.7500000     0.73333333     0.66666667     11.1333333     1.66666667     0.60000000      0.5333333     0.80000000      0.9333333      2.3333333         266        278          298        95/03         1           6           1           0           0          1        13         8         14    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     5     1 2sX1pR    590          2           6         8          0          5         3 0.9166667     1.62500000     1.62500000      0.0000000     3.75000000     0.12500000      1.3750000     3.84615385      0.4615385      2.0000000           1          6            7        94/07         2           1           0           0           0          0         1         3          1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     5     2 2sX1pR    606          4           7         1          0          1         0 1.2500000     1.50000000     1.21428571      4.1428571     3.85714286     0.50000000      2.0714286     3.73333333      1.5333333      3.0000000           7         27           27        94/07         0          13           0           1           0          0         0        14          0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     6     1  1sX4p    177          2          12         4          0          0         4 0.5833333     2.12500000     2.12500000      4.0000000     3.75000000     0.12500000      1.3750000     3.85714286      0.5000000      2.0714286           1          7            7        94/07         2           1           1           0           0          0         0         4          0    1    0    1    1    0    1    0    0    0    0    0    0    0    0    0    0    0
     7     1 2sX1pR    254          2          15         7          0          3         4 0.6666667     2.12500000     2.12500000      0.5000000     3.75000000     0.12500000      1.3750000     3.84615385      0.4615385      2.0000000           1          6            6        94/07         2           1           0           0           0          0         0         3          0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
     7     2 2sX1pR    247          5           7         7          1          4         3 0.8333333     1.46153846     1.30769231      0.3846154     3.84615385     0.46153846      2.0000000     3.86666667      0.5333333      2.1333333           6          8           27        94/07         1           1           0           0           0         12         1         2         13    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
     8     1 2sX2pN    279          2          21         9          0          3         6 1.3333333     2.64285714     2.21428571      1.0714286     3.85714286     0.50000000      2.0714286     3.73333333      1.5333333      3.0000000           7         27           32        94/07         1          12           1           0           0          0         3        14          3    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0
     8     2 2sX2pN    279          1          15        10          0          3         7 0.8333333     1.57142857     1.28571429      0.3571429     3.85714286     0.50000000      2.0714286     3.33333333      3.0000000      2.1333333           7         40           42        94/07         1          22           0           0           0          0         2        23          2    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0
     9     1  1sX2p    212          1          15         7          1          2         5 0.6666667     2.64285714     2.21428571      1.0714286     3.85714286     0.50000000      2.0714286     3.46666667      2.8666667      2.5333333           7         35           40        94/07        12           7           1           0           0          1         2        20          3    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0
    10     1 2sX1pR    395          2           5         1          0          1         0 0.8333333     3.53333333     2.06666667      1.2666667     2.86666667     2.46666667      2.0000000     3.60000000      2.7333333      2.2666667          47         54           54        94/08         1           4           0           0           0          0         0         5          0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    10     2 2sX1pR    363          5          13         0          1          0         0 1.5000000     2.80000000     2.80000000      0.0000000     3.53333333     2.73333333      2.3333333     3.53333333      3.0666667      3.6000000          55         60           61        94/08         0           1           0           2           0          1         0         3          1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    11     1  1sX1p    130          2           9         3          0          1         2 0.6666667     1.40000000     2.80000000      1.2666667     1.46666667     1.06666667      6.2666667     1.06666667      1.0666667      5.3333333          91         97          123        94/09         0           2           2           0           0          0        18         4         18    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    12     1  1sX4p     79          2           6         0          0          0         0 0.3333333     3.40000000     3.46666667      3.1333333     3.86666667     3.33333333     11.7333333     1.66666667      1.1333333     11.0666667         244        259          259        95/03         3           0           8           0           0          0         0        11          0    0    0    0    0    0    1    1    0    1    1    0    0    0    0    0    0    0
    13     1 2sX1pN    265          3           6         0          0          0         0 0.8000000     0.53333333     0.53333333      6.2000000     1.06666667     0.00000000     11.9333333     2.13333333      1.3333333      0.7333333         462        477          482        95/10         8           1           1           1           0          2         1        11          3    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    13     2 2sX1pN    265          3           5         1          0          0         1 1.1333333     0.53333333     0.53333333      0.0000000     1.06666667     0.00000000     11.9333333     1.80000000      1.8000000      0.8666667         462        481          495        95/10         8           4           0           1           0          0        10        13         10    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    14     1  1sX4p    350         12          18         8          1          6         2 2.6833333     1.86666667     2.93333333      3.4000000     2.20000000     0.06666667      9.2666667     1.46666667      2.0000000      9.8000000         285        312          335        95/04         2          10           7           0           0          8         9        19         17    0    0    0    0    0    1    0    1    1    1    0    0    0    0    0    0    0
    15     1 2sX2pN    400          2           5         1          0          1         0 0.9166667     1.60000000     1.60000000      0.0000000     2.20000000     0.06666667      9.2666667     3.06666667      1.8000000      9.6000000         285        306          308        95/04         2          11           2           0           0          0         2        15          2    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0
    15     2 2sX2pN    400          0          12         2          1          1         1 0.8333333     1.73333333     1.73333333      1.0000000     2.20000000     0.06666667      9.2666667     2.80000000      1.8000000      9.5333333         285        307          327        95/04         2          10           3           1           0         10         4        16         14    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
    16     1  1sX2p    450          9          27         2          0          1         1 2.0000000     1.20000000     1.60000000      4.2000000     2.20000000     0.06666667      9.2666667     4.00000000      0.6666667      9.2000000         285        298          301        95/04         2           3           2           0           2          0         3         9          3    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0
