INSPID ROUND REVID  TREAT R_NCSL R_TRUEDEF R_SOFTMAINT R_FALSEPOS  R_SUPPRESSED R_PREPTIME
     1     1     A  1sX4p    261         3           2          0            2  1.0833333
     1     1     B  1sX4p    261         0           5          1            3  2.0000000
     1     1     D  1sX4p    261         0           2          0            0  1.3333333
     1     1     F  1sX4p    261         8           3          2           10  1.1666667
     2     1     E 2sX1pN    231         2           5          0            3  3.0000000
     2     2     F 2sX1pN    231         1          11          4           13  1.5000000
     3     1     A  1sX4p    135         0           0          0            0  0.0000000
     3     1     B  1sX4p    135         0           3          1            1  1.5833333
     3     1     E  1sX4p    135         0           7          0            0  0.8333333
     3     1     G  1sX4p    135         0           1          0            1  0.5000000
     4     1     E 2sX1pN    623         2           5          2            0  3.1666667
     4     2     B 2sX1pN    623         9          17         10            4  3.2500000
     5     1     C 2sX1pR    590         3           2          1            8  1.2833333
     5     2     A 2sX1pR    606         0           6          3            0  1.7500000
     6     1     A  1sX4p    177         2           2          0            5  0.4166667
     6     1     C  1sX4p    177         2           1          1           16  0.4833333
     6     1     D  1sX4p    177         2           4          0            2  0.3333333
     6     1     F  1sX4p    177         4           4          0            3  0.3000000
     7     1     D 2sX1pR    254         4          11          0            1  1.7500000
     7     2     F 2sX1pR    247         3           7          5            1  0.5000000
     8     1     D 2sX2pN    279         5           7          0            4  1.5000000
     8     1     G 2sX2pN    279         2           4          1            0  1.5000000
     8     2     E 2sX2pN    279         3           1          1            1  1.5000000
     8     2     F 2sX2pN    279         7           2          1            1  0.5000000
     9     1     D  1sX2p    212         4           4          0            7  0.5000000
     9     1     L  1sX2p    212         1           1          0            0  0.8333333
    10     1     C 2sX1pR    395         0           7          0            1  0.8500000
    10     2     G 2sX1pR    363         0          11          3            7  1.2500000
    11     1     C  1sX1p    130         2           4          2            0  1.1666667
    12     1     I  1sX4p     79         0           0          0            1  0.6666667
    12     1     J  1sX4p     79         0           0          0            1  0.5833333
    12     1     F  1sX4p     79         0           4          1            2  0.7500000
    12     1     G  1sX4p     79         0           0          0            4  0.1666667
    13     1     E 2sX1pN    265         0           6          2            1  0.6666667
    13     2     G 2sX1pN    265         1           1          2            1  0.7500000
    14     1     H  1sX4p    350         0           1          2            1  1.5000000
    14     1     I  1sX4p    350         1           2          1            0  0.5000000
    14     1     J  1sX4p    350         0           2          2           10  1.0666667
    14     1     F  1sX4p    350         1           4          4           10  1.0000000
    15     1     J 2sX2pN    400         0           3          3            0  0.5833333
    15     1     G 2sX2pN    400         0           1          0            2  0.7500000
    15     2     A 2sX2pN    400         1           7          0            9  1.2500000
    15     2     I 2sX2pN    400         0           1          0            1  0.3333333
    16     1     C  1sX2p    450         1           9          4            4  1.3333333
    16     1     D  1sX2p    450         0          11          0            0  1.6666667
    17     1     P  1sX2p    223         2           0          0            1  0.5000000
