name,frequency,threads,energy
app4,1200,1,28493.799
app4,1200,2,16803.723
app4,1200,4,9052.466
app4,1200,8,5797.05
app4,1200,16,11763.059
app4,1200,32,11043.351
app4,1300,1,25417.983
app4,1300,2,14973.579
app4,1300,4,8439.199
app4,1300,8,7079.973
app4,1300,16,9674.46
app4,1300,32,8893.802
app4,1400,1,25851.813
app4,1400,2,15492.164
app4,1400,4,8501.037
app4,1400,8,5961.532
app4,1400,16,11261.545
app4,1400,32,10891.045
app4,1600,1,21534.132
app4,1600,2,14112.903
app4,1600,4,7043.753
app4,1600,8,5091.532
app4,1600,16,6923.721
app4,1600,32,10770.666
app4,1700,1,22313.427
app4,1700,2,13670.226
app4,1700,4,7590.08
app4,1700,8,5914.682
app4,1700,16,6404.037
app4,1700,32,7901.533
app4,1800,1,19465.186
app4,1800,2,11767.643
app4,1800,4,6538.175
app4,1800,8,4428.357
app4,1800,16,5650.257
app4,1800,32,7564.977
app4,1900,1,20553.963
app4,1900,2,12679.444
app4,1900,4,7174.125
app4,1900,8,4411.757
app4,1900,16,6187.208
app4,1900,32,7172.939
app4,2000,1,18834.783
app4,2000,2,11462.41
app4,2000,4,6402.031
app4,2000,8,4019.837
app4,2000,16,6993.14
app4,2000,32,7929.861
app4,2200,1,16927.484
app4,2200,2,10283.001
app4,2200,4,5863.698
app4,2200,8,3932.655
app4,2200,16,5716.128
app4,2200,32,9401.903
app4,2300,1,18126.478
app4,2300,2,11301.934
app4,2300,4,6530.051
app4,2300,8,4210.681
app4,2300,16,6191.966
app4,2300,32,8961.839
app4,2400,1,16373.259
app4,2400,2,10269.482
app4,2400,4,5909.063
app4,2400,8,5084.96
app4,2400,16,7768.292
app4,2400,32,6630.414
app4,2500,1,17228.167
app4,2500,2,10861.689
app4,2500,4,6373.585
app4,2500,8,5129.554
app4,2500,16,10418.686
app4,2500,32,9709.012
app4,2700,1,16267.163
app4,2700,2,10263.207
app4,2700,4,6067.211
app4,2700,8,4890.193
app4,2700,16,5276.151
app4,2700,32,6228.358
app4,2800,1,16189.804
app4,2800,2,10360.765
app4,2800,4,6200.149
app4,2800,8,4581.776
app4,2800,16,7611.836
app4,2800,32,9488.523
app4,2900,1,15954.585
app4,2900,2,9253.043
app4,2900,4,5486.53
app4,2900,8,4874.05
app4,2900,16,8524.889
app4,2900,32,7214.22
app4,2901,1,15516.111
app4,2901,2,10383.724
app4,2901,4,6911.394
app4,2901,8,7678.628
app4,2901,16,9834.549
app4,2901,32,9635.891
cr_audio1.flac,1200,1,19894.056
cr_audio1.flac,1200,2,7926.346
cr_audio1.flac,1200,4,4148.587
cr_audio1.flac,1200,8,2608.948
cr_audio1.flac,1200,16,2506.544
cr_audio1.flac,1200,32,2722.028
cr_audio1.flac,1300,1,17392.774
cr_audio1.flac,1300,2,7067.936
cr_audio1.flac,1300,4,3681.684
cr_audio1.flac,1300,8,2230.75
cr_audio1.flac,1300,16,2538.232
cr_audio1.flac,1300,32,2423.612
cr_audio1.flac,1400,1,18580.733
cr_audio1.flac,1400,2,6984.474
cr_audio1.flac,1400,4,3729.149
cr_audio1.flac,1400,8,2306.971
cr_audio1.flac,1400,16,2349.055
cr_audio1.flac,1400,32,2408.274
cr_audio1.flac,1600,1,14785.632
cr_audio1.flac,1600,2,6028.431
cr_audio1.flac,1600,4,3166.861
cr_audio1.flac,1600,8,1889.331
cr_audio1.flac,1600,16,1921.463
cr_audio1.flac,1600,32,1546.887
