@relation kitchenham

@attribute Project string
@attribute Client.code {1,2,3,4,5,6}
@attribute Project.type {A,C,D,P,Pr,U}
@attribute Actual.start.date date "YYYY-MM-DD" 
@attribute Actual.duration numeric
@attribute Actual.effort numeric
@attribute Adjusted.function.points numeric
@attribute Estimated.completion.date date "YYYY-MM-DD"
@attribute First.estimate numeric
@attribute First.estimate.method {A,C,CAE,D,EO,W}

@data
1,1,A,1996-12-10,107,485,101.65,1997-04-15,495,EO
2,1,D,1997-06-16,144,990,57.12,1997-08-19,1365,A
3,1,D,1997-03-01,604,13635,1010.88,1998-06-30,8244,EO
4,1,P,1997-06-23,226,1576,45.6,1998-03-06,1595,D
5,1,D,1997-01-20,326,3826,1022.58,1998-01-01,3828,A
6,1,P,1997-12-10,294,1079,77.04,1998-08-07,879,EO
7,1,A,1998-07-06,212,2224,159.6,1999-02-17,2895,EO
8,1,C,1997-12-08,175,1698,225.54,1998-05-22,1800,A
9,1,Pr,1997-05-05,584,1173,144.72,1998-03-17,1160,EO
10,1,D,1997-03-18,171,1401,84.42,1997-07-30,885,EO
11,1,D,1997-06-01,201,2170,126.42,1997-12-04,2125,EO
12,1,D,1997-08-14,195,1122,392.16,1998-01-22,1381,EO
13,1,U,1997-07-21,109,1024,18.9,1997-11-04,1142,D
14,1,P,1997-06-23,263,1832,112.14,1998-04-01,1895,EO
15,1,A,1997-07-10,165,1016,210.08,1998-03-14,1339,EO
16,1,D,1997-03-15,46,322,260.95,1997-07-23,447,EO
17,2,D,1995-12-18,186,580,609.7,1996-02-12,507,EO
18,2,D,1995-06-26,189,1003,169.85,?,952,EO
19,2,P,1995-06-26,95,380,56,1995-09-29,380,EO
20,2,P,1995-09-25,53,220,30,1995-11-17,220,EO
21,2,P,1997-10-07,365,2356,241.86,1998-12-18,2879,EO
22,2,P,1994-12-19,438,1388,219.88,1996-03-01,1483,EO
23,2,P,1996-03-11,109,1066,229.71,1996-06-28,1667,EO
24,2,D,1996-08-05,283,2860,458.38,1997-05-03,2125,A
25,2,P,1998-01-12,137,1143,177.63,1998-06-12,1175,A
26,2,P,1997-05-12,102,1431,287.64,1997-09-05,2213,A
27,2,P,1997-06-09,103,1868,343.54,1997-10-03,2247,A
28,2,P,1997-07-01,192,2172,346.8,1997-10-31,1926,A
29,2,D,1996-08-14,219,8509,1121.48,1996-12-31,5641,EO
30,2,P,1995-02-17,484,5927,761.08,1995-12-01,3928,EO
31,2,P,1996-09-09,173,2663,464,1997-01-15,1995,A
32,2,P,1997-02-10,169,1425,203.01,1997-03-01,2281,EO
33,2,P,1998-01-05,207,3504,550.14,1998-06-06,3305,EO
34,2,P,1996-08-05,61,652,86.45,1996-10-30,797,EO
35,2,P,1996-07-25,311,7649,1362.11,1997-03-08,3922,A
36,2,P,1996-08-12,418,5927,681,1997-05-10,6809,A
37,2,P,1997-05-26,410,6607,485.1,1998-04-22,4955,A
38,2,?,1995-05-08,497,2591,172.96,1996-09-16,1294,EO
39,2,P,1996-08-16,259,4494,2075.8,1997-05-19,5688,EO
40,2,D,1997-01-24,234,4824,756.25,1997-09-30,5245,EO
41,2,?,1995-07-01,462,5094,789.66,1996-08-07,3930,EO
42,2,P,1997-04-21,291,3088,357,1997-10-03,2562,EO
43,2,P,1996-08-06,116,892,62.08,1996-12-13,1526,C
44,2,P,1995-06-26,128,750,157.56,1995-11-01,1018,EO
45,2,D,1997-04-01,185,5646,322.62,1997-10-17,5646,CAE
46,2,P,1994-10-03,207,1532,81.34,1995-06-30,1532,EO
47,2,P,1995-01-02,151,1280,191,1995-06-02,1532,EO
48,2,P,1994-10-24,99,313,121.52,1995-02-28,314,EO
49,2,P,1996-06-17,61,339,222.78,1996-08-17,412,A
50,2,P,1996-10-30,101,583,113.52,1997-01-24,738,EO
51,2,?,1995-07-29,462,726,15.36,1996-11-15,763,EO
52,2,P,1997-11-07,133,1939,320.12,1998-03-09,1750,A
53,2,P,1996-05-23,106,669,84.28,1996-09-06,682,A
54,2,P,1996-12-30,68,1413,248.88,?,1320,EO
55,2,P,1995-11-17,239,4115,616.32,1996-02-29,3573,EO
56,2,P,1996-09-06,330,4009,515.07,1997-06-13,2913,A
57,2,P,1997-01-30,37,630,88.2,1997-03-21,701,EO
58,2,P,1996-07-08,187,718,115.14,1997-01-27,725,A
59,2,P,1996-08-09,329,1584,63.84,1997-02-21,1826,A
60,2,P,1996-10-04,120,5816,1015.98,1997-04-01,5000,EO
61,2,P,1997-02-07,85,2037,359.64,1997-05-16,2640,A
62,2,P,1997-05-16,49,1428,240.84,1997-07-11,2534,A
63,2,P,1997-08-03,152,1252,285.12,1998-01-02,2231,A
64,2,P,1996-03-11,47,655,61.2,1996-04-27,1000,EO
65,2,?,1995-11-03,148,1318,287.28,1996-03-30,1645,D
66,2,D,1996-03-22,141,995,172,1996-07-13,1067,EO
67,2,D,1996-09-09,235,2265,144.06,1997-05-16,2270,EO
68,2,D,1996-09-09,298,654,108.64,1997-07-11,656,EO
69,2,?,1996-02-02,99,718,165.36,1996-05-11,121,A
70,2,P,1996-04-05,127,2029,680.9,1996-06-15,1685,EO
71,2,D,1996-02-01,163,1650,409.4,1996-07-13,2350,EO
72,2,D,1997-07-25,316,2223,313.95,1998-05-02,2308,EO
73,2,D,1996-11-19,388,8600,1136.34,1997-10-03,7850,A
74,2,P,1997-09-01,152,1884,177,1998-02-14,2004,EO
75,2,D,1996-09-23,166,5359,746.24,1996-11-08,3715,W
76,2,P,1996-11-14,114,1159,274.92,1997-03-22,1273,A
77,2,P,1996-07-15,82,437,43.5,1996-11-09,437,A
78,2,D,1997-10-20,123,570,54.75,1998-03-10,813,EO
79,2,P,1995-01-20,49,502,130,1995-03-18,900,EO
80,2,P,1998-02-06,183,1877,525.96,1998-08-21,2475,A
81,2,P,1996-09-12,149,1693,311.85,1996-11-15,799,A
82,2,?,1995-10-15,370,3319,1185.08,1996-03-23,2160,EO
83,2,D,1995-08-26,128,1557,258.24,1996-01-01,1770,EO
84,2,P,1995-10-20,126,557,60,1996-02-23,760,EO
85,2,P,1995-10-10,200,3050,303.52,1996-03-23,2588,A
86,2,D,1996-05-26,76,1113,98.9,1996-08-10,1148,A
87,2,P,1996-08-19,299,5456,711.9,1997-04-19,4064,EO
88,2,D,1996-06-24,131,763,182.4,1996-11-23,933,EO
89,2,?,1997-05-30,140,2203,351.9,1997-09-09,2096,EO
90,2,P,1996-10-18,169,3483,401.98,1997-05-18,3284,EO
91,2,P,1997-04-14,130,2393,162.61,1997-09-05,4576,A
92,2,D,1995-05-22,389,15673,1210.99,1996-02-09,14226,EO
93,2,D,1996-08-26,166,2972,156.42,1997-04-19,6080,EO
94,2,P,1998-04-17,148,4068,603.58,1998-09-06,4046,EO
95,2,P,1998-05-04,131,698,73.92,1998-09-26,649,EO
96,2,P,1997-09-02,144,676,121.55,1998-02-27,817,EO
97,2,?,1995-09-17,369,6307,1234.2,1996-07-13,6340,EO
98,2,P,1995-07-03,155,219,35,1995-10-27,300,EO
99,2,?,1995-11-06,102,254,61.06,1996-02-26,315,EO
100,2,P,1995-04-03,149,324,162,1995-09-30,750,EO
101,2,P,1995-10-01,548,874,1285.7,1996-09-30,898,EO
102,2,D,1994-09-01,946,113930,18137.48,1996-12-20,79870,EO
103,2,D,1996-11-11,186,1722,1020.6,1997-05-16,1600,EO
104,2,D,1995-03-10,212,1660,377,1995-10-08,1702,EO
105,2,P,1995-10-09,84,693,210.45,1996-01-01,592,EO
106,2,D,1995-01-16,250,1455,410,1995-09-29,2158,EO
107,2,D,1995-06-28,86,988,279,1995-09-22,994,EO
108,2,D,1994-12-19,102,1940,240,1995-04-11,1875,EO
109,2,P,1995-10-10,137,2408,230,1996-02-24,2527,EO
110,2,D,1994-11-01,87,1737,150.29,1995-02-27,2606,EO
111,2,D,1994-11-07,291,12646,1940.68,1995-08-25,12694,EO
112,2,D,1994-01-14,392,4414,401,1995-02-10,4176,EO
113,2,D,1995-02-13,165,2480,267,1995-07-28,2240,EO
114,2,D,1995-09-11,88,980,102,1995-12-18,980,EO
115,2,D,1994-05-23,249,3189,403,1995-01-27,3720,EO
116,2,D,1994-12-12,186,2895,857,1995-06-16,2914,EO
117,2,D,1994-12-09,63,322,69,1995-02-10,360,EO
118,2,A,1995-10-09,192,3555,980.95,1996-06-03,3700,EO
119,2,P,1995-02-13,123,570,100.8,1995-06-16,200,EO
120,2,P,1997-05-02,123,464,105.28,1997-09-15,578,EO
121,2,D,1997-01-13,186,1742,158.4,?,1652,EO
122,2,D,1998-09-18,119,896,219.88,1998-11-30,780,A
123,2,P,1997-11-01,195,8656,1292.56,1998-04-24,8690,EO
124,2,P,1997-11-07,210,3966,616.08,1998-05-29,3748,EO
125,2,D,1994-09-04,180,989,103.4,1995-03-03,710,EO
126,2,P,1998-05-30,238,585,74.4,1999-02-20,856,EO
127,2,P,1997-09-16,144,1860,356.31,1997-12-01,2436,EO
128,2,P,1997-12-08,432,5249,862,1998-11-23,4101,EO
129,2,P,1997-06-27,392,5192,791.84,1998-02-02,5231,EO
130,2,D,1998-08-01,205,1832,661.27,1998-11-20,2853,A
131,2,D,1995-01-13,49,928,179,1995-03-03,1246,EO
132,3,P,1996-06-10,205,2570,518.4,1997-01-15,2570,EO
133,3,D,1995-01-01,145,1328,370,1995-12-31,1328,EO
134,3,D,1997-02-02,172,2964,839.05,1997-08-22,3380,EO
135,3,P,1997-07-21,137,1304,243.86,1997-12-05,1522,EO
136,4,D,1996-12-02,371,1631,557.28,1997-09-04,2264,EO
137,4,C,1997-01-10,217,955,485.94,1997-08-29,2790,EO
138,4,D,1997-02-07,308,286,698.54,1997-12-26,1312,EO
139,4,D,1997-03-17,217,1432,752.64,1997-12-28,2210,A
140,5,D,1996-09-23,40,321,809.25,1996-11-12,337,EO
141,6,P,1995-06-19,253,593,178.1,1995-03-03,865,EO
142,6,P,1997-08-27,405,302,81.48,1998-10-06,441,EO
143,6,P,1997-05-05,241,2634,1093.86,1998-01-01,2731,EO
