"nameProject","devsProject"
"Apache_Abdera","markrmiller;veithen;ckoppelt;antelder;jmsnell;dbeaulieu"
"Apache_Ant","mclarke;boday;jlboudart;hibou;jhm;mbenson;maartenc;jglick;antoine;jkf;gscokart;kevj"
"Apache_Jakarta_Cactus","baudyjy;sebb"
"Apache_ECS",""
"Apache_ORO",""
"Apache_Regexp","sebb;rahul"
"Apache_JAMES","eric;ieugen;ppalaga;norman;sbrewin;felixk;bago;rdonch;berndf"
"Apache_Jena","andy;rvesse;claude;jpz6311whu;sallen;ijd;der;castagna;damian"
"Apache_JMeter","sebb;pmoravec;rjung;mikus;woolfel"
"Apache_Scout","kstam;tcunning"
"Apache_Karaf","csauer;cmoulliard;christophg;jbonofre;gnodet;ffang;jgoodyear;iocanel;gertv;fbalicchia;sevanchik;anierbeck;pieber;hkesler;ldywicki;btopping;djencks;chirino;olamy;dantran;gawor"
"Apache_Lenya","florent"
"Apache_Ivy","hibou;maartenc;jlboudart;mbenson"
"Apache_Chainsaw","sdeboy"
"Apache_log4j","grobmeier;ggregory;rgoers;carnold;sdeboy"
"Apache_Lucene_Core","shalin;han;dsmiley;mikemccand;rmuir;shaie;noble;erick;steffkes;janhoy;sarowe;elyograg;markrmiller;jpountz;simonw;mvg;upul;hossman;yonik;dweiss;ryan;tommaso;romseygeek;cm;gsingers;jdyer;koji;ehatcher;adrianocrestani;gbowyer;ab;stanislaw;doronc;siren;mharwood;chrism;otis;buschmi"
"Apache_Mahout","sslavic;dlyubimov;srowen;ssc;smarthi;gsingers;robinanil;dfilimon;jmannix;isabel;tdunning;bimargulies;squinn;pranjan;jeastman;drew;tcp;adeneche"
"Apache_IvyDE","hibou"
"Apache_ManifoldCF","kwright;mlizewski;shinichiro;minoru;piergiorgio;iorixxx;ridder;danielsh;tommaso"
"Apache_Maven","jvanzyl;hbetts;bimargulies;olamy;krosenvold;rfscholte;baerrach;dennisl;stephenc;mkleint;ifedorenko;bentmann;pgier;struberg;breser"
"Apache_MINA","gnodet;apaliwal;sebb;elecharny;jvermillard;berndf;adc;ngn;foodmike;spearce;sergey"
"Apache_FtpServer","ngn;sebb;sergey"
"Apache_SSHD","gnodet;elecharny;spearce"
"Apache_Vysper","berndf;ngn;elecharny;foodmike;apaliwal"
"Apache_MyFaces","lu4242;gcrawford;lofwyr;sobryan;bsullivan;jwaldman;gpetracek;weber;bommel;mfreedman;arobinson74;mkienenb;andys;mconcini;werpu;mstarets;struberg;grantsmith;joes;jakobk;martinkoci;matzew;rdebusscher;mbenson;mkurz;aliok;ganesh;cjhoward;jankeesvanandel;muthaman;baranda"
"Apache_OpenJPA","hthomann;jgrassel;struberg;kwsutter;jrbauer;mikedd;ppoddar;curtisr7;allee8285;helenxu;rpalache;joes;dianner;dwoods;mtylenda;clr;faywang"
"Apache_OpenWebBeans","struberg;rmannibucau;arne;gpetracek;dblevins;tandraschko;jlmonteiro;covener;gerdogdu;bergmark;joes;martinkoci;kelapure;djencks;yingwang"
"Apache_PDFBox","lehmi;tchojecki;leleueri;gbailleul;msahyoun;joes;tboehme;jensg;jukka;adam;danielwilson"
"Apache_Pig","aniket486;cheolsoo;daijy;xuefu;rohini;knoguchi;dvryaboy;gates;julien;billgraham;prkommireddi;jcoveney;thejas;gdfm;sms;olga;hashutosh;rding"
"Apache_Pivot","rwhitcomb;smartini;noelgrandin;cbartlett;edvin;gbrown;tvolkert"
"Apache_POI","cedricwalter;centic;tallison;nick;yegor;berlog;sergey;maxcom;wave;jsvede"
"Apache_Archiva","olamy;breser;skygo;oching;jbonofre;alecharp;wsmoak;jzurbano"
