Project,LOC,Total effort hours,staff months
1,15500,17715,116.5
2,50911,12588,82.8
3,61178,17039,112.1
4,26844,10946,72.0
5,25731,1514,10.0
6,67325,19475,128.4
7,66260,17997,118.4
8,NA,NA,NA
9,55237,15262,100.4
10,75420,5792,38.1
11,89513,15122,99.5
12,75393,14508,95.4
13,85369,14309,94.1
NA,57890,13522,89.0

By Phase
Project,Design,code,Integration,Accept test
1,20.6,38.6,16.5,24.3
2,16.2,48.4,19.3,16.2
3,21.8,47.9,17.4,12.9
4,35.9,39.5,24.5,0.1
5,18.2,68.8,13.0,0.0
6,16.3,48.6,10.9,24.3
7,19.0,50.4,14.9,15.7
8,22.9,48.4,13.0,15.8
9,22.6,68.3,8.1,1.1
10,24.4,44.6,20.2,10.8
11,22.7,39.4,21.4,16.5
12,16.9,53.1,10.9,19.1
13,28.2,43.5,20.1,8.2
NA,22.0,49.2,16.2,12.7

By Activity
Project,Design,code,Integration,Accept test
1,17.4,16.4,9.9,56.3
2,30.1,39.4,20.8,9.7
3,26.3,20.3,19.3,34.2
4,27.3,28.7,6.0,38.0
5,31.0,35.5,9.4,24.1
6,14.9,21.8,24.0,39.2
7,20.2,25.9,14.3,39.6
8,11.0,13.9,9.3,65.8
9,31.3,43.5,18.9,6.4
10,38.2,37.3,6.1,18.4
11,29.3,31.0,17.2,22.5
12,23.7,46.5,24.0,5.9
13,32.6,36.3,15.6,15.6
NA,25.6,30.5,15.0,28.9

