@relation coc81lnh

@attribute id numeric
@attribute dev_mode {organic}
@attribute rely {l,n,vl,h,vh}
@attribute data {vh,l,n,h}
@attribute cplx {vl,l,n,vh,xh,h}
@attribute time {n,xh,vh,h}
@attribute stor {h,n,vh,xh}
@attribute virt {h,n,l,vh}
@attribute turn {h,l,n,vh}
@attribute acap {l,n,h,vl,vh}
@attribute aexp {l,h,vh,n,vl}
@attribute pcap {l,n,h,vl,vh}
@attribute vexp {l,h,n,vl}
@attribute lexp {n,h,vl,l}
@attribute modp {vl,l,h,n,vh}
@attribute tool {l,n,h,vl,vh}
@attribute sced {h,n,l,vl}
@attribute loc numeric
@attribute actual numeric

@data
1,organic,l,vh,vl,n,h,h,h,l,l,l,l,n,vl,l,h,113,2040
2,organic,l,vh,l,n,h,n,h,n,h,n,h,h,l,n,n,293,1600
3,organic,n,vh,l,n,n,l,l,h,vh,h,h,h,h,h,n,132,243
4,organic,vl,vh,vl,n,n,l,n,l,h,vl,n,h,vl,n,h,60,240
5,organic,l,l,n,n,n,l,n,n,n,h,h,h,vl,n,n,16,33
6,organic,vl,n,l,n,vh,n,n,vl,n,vl,h,h,vl,l,n,4,43
7,organic,vl,n,n,n,n,l,l,n,n,n,h,h,h,h,n,6.9,8
8,organic,h,l,vh,xh,xh,vh,n,vh,h,n,vl,vl,l,l,l,22,1075
9,organic,h,l,vh,vh,vh,h,n,h,n,h,l,l,h,n,n,30,423
10,organic,vh,l,vh,h,xh,n,h,h,vh,h,h,n,n,n,n,29,321
11,organic,vh,l,vh,h,xh,n,h,h,vh,h,h,n,n,n,n,32,218
12,organic,h,l,vh,h,h,n,n,h,vh,h,n,h,h,n,l,37,201
13,organic,h,l,vh,h,h,h,n,vh,n,vh,l,n,vh,n,n,25,79
14,organic,h,l,xh,vh,xh,h,n,h,n,vh,l,l,l,vl,vl,3,60
15,organic,vh,l,vh,vh,h,h,l,h,l,h,vl,vl,h,n,vl,3.9,61
