nm	MbitHr	flip	X1	X2	X3
130	3.26E+5	1	3068	1090	14554
130	2.04E+6	2	979	400	3081
130	2.38E+6	3	1259	573	3254
130	3.41E+6	4	1174	578	2686
130	4.41E+6	5	1133	592	2381
130	4.86E+6	6	1234	676	2436
130	6.77E+6	7	1034	588	1942
130	6.81E+6	8	1175	690	2120
130	6.87E+6	9	1311	790	2287
130	8.14E+6	10	1228	758	2084
130	8.31E+6	11	1324	833	2192
130	9.03E+6	12	1329	852	2153
130	9.46E+6	13	1375	895	2185
130	1.02E+7	14	1369	904	2141
130	1.16E+7	15	1291	864	1989
130	1.16E+7	16	1377	932	2091
130	1.17E+7	17	1457	997	2185
130	1.17E+7	18	1539	1064	2283
130	1.19E+7	19	1603	1118	2352
130	1.24E+7	20	1617	1138	2350
130	1.28E+7	21	1646	1167	2370
130	1.32E+7	22	1664	1189	2377
130	1.41E+7	23	1626	1170	2304
130	1.47E+7	24	1635	1184	2299
130	1.50E+7	25	1666	1214	2327
130	1.51E+7	26	1719	1260	2385
130	1.59E+7	27	1703	1255	2348
130	1.63E+7	28	1714	1270	2350
130	1.66E+7	29	1743	1298	2376
130	1.70E+7	30	1766	1321	2395
130	1.75E+7	31	1772	1332	2392
130	1.76E+7	32	1816	1370	2439
130	1.80E+7	33	1831	1388	2448
130	1.82E+7	34	1865	1419	2483
130	1.86E+7	35	1879	1435	2492
130	1.91E+7	36	1886	1446	2490
130	1.96E+7	37	1888	1452	2484
130	1.96E+7	38	1939	1497	2542
130	1.99E+7	39	1964	1521	2566
130	1.99E+7	40	2013	1564	2621
130	2.02E+7	41	2030	1582	2634
130	2.04E+7	42	2060	1609	2664
130	2.05E+7	43	2093	1639	2699
130	2.06E+7	44	2135	1677	2744
130	2.15E+7	45	2097	1652	2689
130	2.19E+7	46	2097	1656	2681
130	2.20E+7	47	2134	1689	2721
130	2.22E+7	48	2160	1713	2747
130	2.26E+7	49	2166	1723	2749
130	2.29E+7	50	2184	1741	2765
130	2.33E+7	51	2188	1747	2763
130	2.34E+7	52	2227	1782	2806
130	2.42E+7	53	2190	1756	2753
130	2.55E+7	54	2122	1705	2662
130	2.69E+7	55	2045	1647	2560
130	2.70E+7	56	2072	1672	2589
130	2.71E+7	57	2102	1698	2620
130	2.74E+7	58	2114	1711	2630
130	2.75E+7	59	2149	1743	2669
130	2.77E+7	60	2163	1757	2682
130	2.80E+7	61	2176	1771	2693
130	2.81E+7	62	2205	1797	2724
130	2.93E+7	63	2150	1755	2651
130	2.95E+7	64	2170	1774	2671
130	2.98E+7	65	2185	1789	2686
130	3.03E+7	66	2175	1784	2670
