Lang	Occurrences	Message
Java	702102	cannot find symbol - variable <NAME>
Java	407776	';' expected
Java	280874	cannot find symbol - method <NAME>
Java	197213	cannot find symbol - class <NAME>
Java	183908	incompatible types
Java	180287	')' expected
Java	173091	illegal start of expression
Java	147787	<identifier> expected
Java	132080	<METHOD> cannot be applied to <TYPE>
Java	120817	not a statement
Java	113686	reached end of file while parsing
Java	96703	missing return statement
Java	91452	class, interface, or enum expected
Java	78561	variable <NAME> is already defined in <METHOD>
Java	66082	variable <VARIABLE> might not have been initialized
Java	58164	possible loss of precision, found: <TYPE> required: <TYPE>
Java	56830	package <PACKAGE> does not exist
Java	56407	invalid <METHOD>; return type required
Java	48925	'.class' expected
Java	43056	illegal start of type
Java	37386	bad operand types <TYPE> for binary operator ' ' First type: <TYPE> Second type: <TYPE>
Java	35179	no suitable method found for <NAME>
Java	31518	illegal character <NAME>
Java	29965	unclosed string literal
Java	29134	'else' without 'if'
Java	28854	unexpected type, found: <TYPE> required: <TYPE>
Java	26058	'(' or '[' expected
Java	25389	java.lang.NullPointerException
Java	21414	non-static <METHOD> cannot be referenced from a static context
Java	20995	'(' expected
Java	20232	java.lang.ArrayIndexOutOfBoundsException
Java	20111	cannot return a value from <METHOD> result type is void
Java	19528	non-static <VARIABLE> cannot be referenced from a static context
Java	19373	<CLASS> is public and should be declared in a file named <FILE>
Java	18898	java.util.InputMismatchException
Java	18782	<NAME> is not abstract and does not override abstract method <METHOD> in <CLASS>
Java	18413	missing <METHOD>, or declare abstract
Java	18229	<TYPE> cannot be dereferenced
Java	18177	unreachable statement
Java	16475	no suitable constructor found for <NAME>
Java	16340	incompatible types - found: <TYPE> but expected <TYPE>
Java	16336	'{' expected
Java	14834	<NAME> has private access in <NAME>
Java	13420	java.lang.StringIndexOutOfBoundsException
Java	11303	incomparable types: <TYPE> and <TYPE>
Java	11239	unclosed character literal
Java	10673	java.lang.NumberFormatException # is an invalid <TYPE>
Java	10464	unreported exception <NAME> thrown
Java	10323	']' expected
Java	8204	'void' type not allowed here
Java	7145	java.lang.ArithmeticException Division by zero.
Java	6861	illegal escape character
Java	6744	unmappable character for encoding <NAME>
Java	6600	integer number too large: #
Java	6453	cannot find symbol - constructor <NAME>
Java	5616	while expected
Java	5388	array required, but <TYPE> found
Java	4977	class expected
Java	4920	bad operand type <TYPE> for unary operator ' '
Java	4267	java.lang.StackOverflowError
Java	3807	inconvertible types, found: <TYPE> required: <TYPE>
Java	3728	array dimension missing
Java	3639	java.lang.IndexOutOfBoundsException
Java	3344	missing return value
Java	3071	java.util.IllegalFormatConversionException
Java	2711	cannot access <NAME>
Java	2636	'.' expected
Java	2633	illegal initializer for <NAME>
