SNAPSHOT	DOCUMENTED	COMMIT NOTES
17	NO	 =- fix a bug hanlding very log filenames - move quotas support to separate file - send keepalives to password server
21	NO	cleaned up the way the max log size stuff works and fixed a potential problem with varargs usage in Debug() 
28	NO	"Lots of changes!  - add faq info on NT printer handling - add ""delete readonly"" option to help rcs users - add stuff to man pages on new printer options - add ""proxy name resolution"" option - add ""command string"" -c option to smbclient (thanks Ken) - split time functions into time.c - rearrange the quotas stuff a bit and fix some bugs - complete rehash of the time handling code thanks to Paul Eggert - fix nmblookup output a bit - add plp print queue parsing from Bertrand Wallrich "
30	YES	 =- moved the uid handling to uid.c - added setfsuid() support (for Linux) - started adding some of Lukes changes  just the loadparm and ipc ones so far
31	NO	a huge pile of changes :-)  The biggest thing is the integration of Lukes new nmbd. Its still largely untested  so we will really need some feedback  I've also added auto prototype generation and cleaned up a lot of minor things as a result 
40	YES	 =- added interface.c and removed all the references to myip  bcast_ip and Netmask  instead replacing them with calls to routines in interface.c  - got rid of old MAXINT define  - added code to ensure we only return one entry for each name in the ipc enum routines  - added new_only option to add_netbios_entry() to prevent overwriting of important names  - minor time handling fixup
42	NO	- added predict.c  moving the routines from util.c  - added iface_count() and iface_n_ip() routines so its easy to loop over the local interface list  - made readsize a normal loadparm global  - check for null w in add_domain_entry()  - set the deathtime 
43	NO	 =- added comments to byteorder.h explaining how it works. - fixed problem with installscripts if srcdir is not set - fixed ptr init bug in interface.c - changed default lookup type in nmblookup to match nbtstat under NT - new quotas fixes for sunos and solaris
50	NO	moved some more locking routines to locking.c  and moved replacement routines for broken OSes from util.c to replace.c. 
56	NO	 =- change date as a demo for john - modified plp printing parser to work on my system
57	NO	Basic doc changes to keep up to date.  Dan 
