SNAPSHOT	DOCUMENTED	COMMIT NOTES
8	NO	"change HARVEST to SQUID; remove rcsid and copyright "
9	YES	gcc -Wall fixes 
12	NO	change FTP to use a ftpget-daemon so cached does not fork 
15	YES	remove OLD_CODE for old forking ftpget 
16	NO	use cached_error() instead of CACHED_RETRIEVE_ERROR_MSG 
18	NO	add magic marker stuff  remove ftpget thread stuff 
20	YES	use malloc unless we HAVE_ALLOCA 
25	NO	"MAJOR #include REWRITE; ack! "
33	NO	comment 
38	YES	"assign store.c to debugging section 20 fixed storeRebuildFromDisk bug introduced when switched from fdopen(  ""a"") to fdopen(  ""w"").  Now storeInit() makes a little more sense. "
46	NO	cleanup 
54	NO	compiler 
56	NO	major code cleanup/unification/rewrite 
58	NO	"avoid using stderr; use debug() or debug_log instead "
61	YES	Fixed bug in httpParseReplyHeader because incoming 'buf' is not zeroed and may contain tailing garbage.   Now pass size and only copy that many bytes.  Added hdr_sz parsing and field to mem_obj 
75	NO	building announce directly into cached 
77	NO	"        - Created struct _http_reply to hold reply fields.           Elmininates need for storeMatchMime() in ttl.c.         - fixed use of storeSetPublicKey() in ftp/gopher/wais.  Now           call at end of *SendRequest().         - Fixed converting gopher to HTML bug  removed html_request           field of gopherData;         - Open server sockets _after_ storeRebuild() so many incoming           connections don't stack up on the listen queue.         - Created ""store.log"" which logs RELEASE/SWAPIN/SWAPOUT events. "
80	NO	"cleanup url parsing; support ports "
82	NO	make url_convert_hex not have to xstrdup the buffer 
111	YES	 fix making XMALLOC_DEBUG on by default 
115	NO	 =-fixed SSL/CONNECT -Added background processing for rebuilding store
117	NO	trim out code sections #ifdef'd out 
119	NO	develop urlParse() and request_t structure to avoid sscanf'ing the URL too frequently. 
128	NO	stupid swaplog problems... grr. 
139	NO	merging all changes up to squid-1.0.beta5 
142	NO	merging changes from SQUID_1_0 branch 
146	NO	cleanup after big merge 
173	NO	use LOCAL_ARRAY macro 
176	YES	prototype for xmemcpy() 
177	NO	Use two-level directory structure and log things in hex 
181	NO	-Split ipcache.c into ipcache.c and dns.c -Moved newer functions from icp.c to client_side.c -Added fqdncache.c  like ipcache.c -Added new ACL type ACL_SRC_DOMAIN 'srcdomain' -Use aclMatchDomainList() instead of aclMatchWord() for domain names -Renamed 's
196	NO	 =- Removed all references to hierarchy.log. - Changed hierarchy_log_append() to hierarchyNote() and Added   _hierarchyLogData structure.
199	NO	From: Russell Street <r.street@auckland.ac.nz> Change redirect to take IP/FQDN  ident  method on each line 
202	NO	squid_1_0_7 changes 
211	YES	be smart about array bounds 
218	NO	merge from SQUID_1_0_10 
243	NO	merge 1.0.11 changes 
244	NO	compiler fixes from Ed Knowles 
248	NO	"-Added more IMS support.  Now Squid issues IMS requests for expired  objects in the cache.  Log type will be either TCP_EXPIRED_HIT if  the server sends ""304 Not Modified"" or TCP_EXPIRED_MISS if the  server send a new object. -Fixed storeGetMemSpace() bug"
261	NO	" =- Cleaned up gopher.c; prototypes  make functions static  etc. - Added READ_DEFERRED entry flag.  Only extend lifetime when   first entering deferred mode."
269	NO	ANSIFY 
272	NO	more ANSI/prototype fixing 
279	YES	s/()/(void)/ Fix ((void)) for varargs funcs 
285	NO	merge diff-1.0.12-1.0.16 
286	NO	gindent 
288	NO	s/__STRICT_ANSI__/__STDC__/ 
290	NO	        - Fixed coredump in icpStateFree() when calling           checkFailureRatio().         - Added more stuff to net_db.c.         - Fixed memory leak in stat_ipcache_get().         - Changed __P back to _PARAMS. 
299	NO	        - Moved ICMP socket to external 'pinger' program.         - Moved tvSubMsec() to lib/util.c.         - Moved accessLogTime() to debug.c. 
324	NO	"From:    Markus Gyger <mgyger@itr.ch> OK  I couldn't resist to make some changes in cachemgr.c:      - URLs like .../cgi-bin/cachemgr?proxy.w3.org:3128 should now work     - .../cgi-bin/cachemgr?host=proxy&port=3128&url=http://www.x.org/&operation= refresh       works like a POST request (parameters may be omitted)     - removed ""Current"" item in operation selection;       previous selection is remembered     - added ""Empty Form"" entry in selection "
333	NO	upload patch 
338	NO	mondo proto patch from ed knowles 
341	NO	"From:    Arjan.deVet@adv.IAEhv.nl (Arjan de Vet)  >I've made a patch to read src and dst ACL's from a file (one entry per >line)  the new commands are 'acl <name> src_file <file>' and 'acl <name> >dst_file <file>'. > >Furthermore I added a small patch to implement the ACL lookup speedup >described above: a matched record in an ACL will be moved to the second >position of the list (the first position is somewhat more difficult). This [...]  I've made the patch more general. You can now use for any ACL the following syntax:          acl <aclname> <acltype> ""file""  A file should contain one word (IP spec  domain name  regexp  etc.) per line. Note that you can mix this new file method with the old method  e.g.:          acl acl1 src 212.1.2.3/24 ""/home/squid/etc/networks"" 127.0.0.1  Furthermore the ACL speedup patch has been implemented for domain lists  regex lists and int lists too. "
342	NO	-Replaced use of hostent in IP cache.  Now use home-grown ipcache_addrs with  list of in_addr's -Changed comm_connect() to comm_nbconnect() and removed all *ConnInProgress()  stuff.  Now all (most?) completed connections go through a single function. -Add
371	NO	rearrange USE_ICMP defines 
379	NO	"        - Changed cachemgr stats/objects listing format.         - Added some missing ""entry->refcount++""         - Changed StoreEntry->timestamp to be the last verification time.           (was the stored-on-disk time).         - Fixed stuck objects from ""304 Not Modified"" responses without           final blank line.         - Added failure detection to icmpRecv(). "
388	YES	"cleanup; avoid compiler warning "
454	NO	massive const patch from Markus Gyger 
455	NO	objcache and password cleanups 
464	NO	Move IMS line to top of request and make sure there is only one 
469	NO	gindent 
470	NO	change to squid.nlanr.net 
512	NO	s/Forwarded/Via/g 
531	NO	Fixed Via: and Host: request headers 
564	NO	        - Merged request header parsing code from http.c and pass.c           into httpBuildRequestHeader(). 
579	NO	        - Changed store.log to include date  last-modified  and           expires timestamps  plus content-type.         - Added content-type to access.log too.         - parse HTTP timestamps directly in httpParseReplyHeaders().         - moved timestampsSet() to storeTimestampsSet().         - fixed ACL '/32' bug (Ansgar Hockmann). 
603	NO	fix file modes on new log 
644	NO	fix TRACE mode. Use high byte of reqnum as key for the request method 
669	NO	Created USE_GNUREGEX define to fix forcing GNU regex on Solaris and NeXTStep. 
675	YES	remove OLD_CODE 
686	NO	remove comm_read/commHandleRead 
751	YES	fix bucket randomizing to not use a random compare function 
774	NO	do AC_REPLACE_FUNCS(strerror) 
788	NO	JUMBO Stewart Forster speedup patch:     1) aiops.c and aiops.h are a threaded implementation of asynchronous file        operations.     2) async_io.c and async_io.h are complete rewrites of the old versions.     3) I have rewritten all disk file operations of squid to support        the idea of callbacks except where not required.     4) UDP_HIT_OBJ not supported.     5) Background validation of 'tainted' swap log entries.     6) Modified storeWriteCleanLog to create the log file using the        open/write rather than fopen/printf.     7) Added the E_INTR error response to handle badly interrupted        system calls. 
797	NO	Started implementing diff cache dir sizes 
800	YES	more compiler fixes 
802	NO	finish multiple swap dirs 
810	NO	"merge 1.1.8->1.1.10; just get it to compile "
811	YES	use malloc instead of dynamic auto arrays 
815	NO	moving FD things to common fd.h 
835	NO	"New MIME configuration  regular expression based Added request_timeout config option Multiple HTTP sockets (Lincoln Dale). Moved 'fds_are_n_free' check to httpAccept(). s/USE_POLL/HAVE_POLL/; make poll() default if available. "
848	NO	void fooStart() 
